pred_len,backbone,dataset_key,family,vus_pr,vus_roc,auc_pr,auc_roc,standard_f1,pa_f1,normal_mse,normal_mae,n_eval_rows,status,error
48,TTM,SMAP_id_17,SMAP,0.6040788516975825,0.8720538205891615,0.5967643477452338,0.84884699103381,0.6077800136575509,1.0,0.38352883583937514,0.1355307819988611,6303,ok,
48,TTM,SMAP_id_18,SMAP,0.10927977341137146,0.6690142628592214,0.10702915953346151,0.6624558684048056,0.24925946826292536,1.0,0.37254385696113823,0.09885436650703833,7201,ok,
48,TTM,SMAP_id_19,SMAP,0.6101803413254568,0.8416128796945723,0.4481553811756522,0.5543370778887327,0.590904927715282,1.0,0.011924567567186718,0.009088946406686182,6581,ok,
48,TTM,SMAP_id_2,SMAP,0.1341064530761913,0.6097528557756208,0.12372928035714492,0.581908433957941,0.19632105776017691,1.0,0.3599217677592522,0.09059328015860076,7414,ok,
48,TTM,SMAP_id_20,SMAP,0.020458588792840862,0.43166297519979746,0.017568583497361567,0.38028700653153064,0.04821451339560339,0.5593984962406015,0.8920351481202766,0.1935008360643818,7111,ok,
48,TTM,SMAP_id_21,SMAP,0.010549674150653375,0.624766969206907,0.005405699485117497,0.40839273591310254,0.012844602261790902,0.09239130434782608,0.7178546181865748,0.17394267574374214,6836,ok,
48,TTM,SMAP_id_22,SMAP,0.07171090220354981,0.5154246369537024,0.05978555320508262,0.46970241864434775,0.12002417655751067,0.959395656279509,0.3736740564144375,0.09723211774482861,7399,ok,
48,TTM,SMAP_id_23,SMAP,0.5370766595827424,0.8281530935747528,0.5372762543194872,0.8140492669659245,0.6136313869205279,1.0,99.1784876037279,0.8490853319515561,3641,ok,
48,TTM,SMAP_id_24,SMAP,0.6211796753782843,0.9397185243227871,0.3156690887338696,0.8403675362488477,0.46752748866830257,0.9879518072289156,0.35088100880460377,0.09451282908389962,7269,ok,
48,TTM,SMAP_id_25,SMAP,0.24336482053452296,0.8910839827059064,0.3249596782624542,0.807172359323614,0.41378982166693157,0.7087719298245614,0.00108655854078335,0.004898112680904127,7501,ok,
48,TTM,SMAP_id_26,SMAP,0.021108539062354107,0.5191995912715428,0.01273785186350055,0.515426497277677,0.025155031116703613,0.024831391784181485,2.2295745631843592e-06,0.0007088892214505911,6222,ok,
48,TTM,SMAP_id_27,SMAP,0.014787095149090325,0.6717531816497759,0.012065996339716058,0.6282407948568088,0.0316756874473135,0.23743016759776536,1.001313900662065,0.19275790185328262,7514,ok,
48,TTM,SMAP_id_3,SMAP,0.06560314202440966,0.6306645427504473,0.05238468725076993,0.5689570053678847,0.13208770014957033,0.9104938271604939,0.35448352881972867,0.09383745567843257,7397,ok,
48,TTM,SMAP_id_4,SMAP,0.022414881697019447,0.5956522548416411,0.014426066385257473,0.4664090671411206,0.04117898493937557,0.3611940298507463,0.7968113384810636,0.17921430887836234,7514,ok,
48,TTM,SMAP_id_5,SMAP,0.015474489274727176,0.4000243633676336,0.008844045839561535,0.3977800075253982,0.017532854977454302,0.017507089138207373,4.676570090222706e-05,0.0017668308398187647,6962,ok,
