dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
040_GHL_id_9_Sensor_tr_50000_1st_92001,0.019439,0.462304,0.016224,0.468642,0.041448,0.041372,0.037894,0.076280
023_MITDB_id_5_Medical_tr_25000_1st_36913,0.109233,0.819553,0.232083,0.740154,0.333329,1.000000,0.086356,0.191187
002_MSL_id_1_Sensor_tr_500_1st_900,0.017598,0.722648,0.007048,0.525781,0.017204,0.111675,0.210734,0.084107
011_MSL_id_10_Sensor_tr_1525_1st_4590,0.667630,0.967101,0.357815,0.935482,0.673535,0.906574,46.433872,0.544101
012_MSL_id_11_Sensor_tr_539_1st_940,0.967332,0.984422,0.817293,0.876120,0.852268,1.000000,0.153212,0.048735
013_MSL_id_12_Sensor_tr_554_1st_1200,0.156785,0.935807,0.030430,0.820185,0.083611,0.241860,0.187309,0.042777
027_MITDB_id_9_Medical_tr_25000_1st_52255,0.048342,0.832934,0.089419,0.817794,0.166452,0.998847,0.146423,0.178474
014_MSL_id_13_Sensor_tr_1525_1st_4575,0.822664,0.959474,0.690421,0.929818,0.780054,1.000000,45.034656,0.532974
015_MSL_id_14_Sensor_tr_575_1st_1250,0.097973,0.368096,0.095917,0.361044,0.231181,0.773779,0.240669,0.055883
016_MSL_id_15_Sensor_tr_500_1st_780,0.719058,0.942265,0.677553,0.921952,0.760679,0.982456,706.775610,1.508793
017_MSL_id_16_Sensor_tr_512_1st_1850,0.167323,0.656192,0.141771,0.592379,0.246692,0.989071,0.242518,0.069807
003_MSL_id_2_Sensor_tr_883_1st_1238,0.359833,0.804615,0.361897,0.785092,0.397209,0.997812,0.153542,0.027879
079_LTDB_id_1_Medical_tr_3618_1st_3718,0.629408,0.894238,0.538292,0.835055,0.461661,0.989986,0.542534,0.281489
004_MSL_id_3_Sensor_tr_530_1st_630,0.075131,0.090588,0.052178,0.084236,0.099179,0.097033,0.165330,0.022327
005_MSL_id_4_Sensor_tr_855_1st_2700,0.095526,0.803296,0.032273,0.689187,0.074462,0.648402,0.125346,0.027722
