dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
016_MSL_id_15_Sensor_tr_500_1st_780,0.389550,0.879581,0.364163,0.860314,0.498808,0.991150,648.454701,0.964969
017_MSL_id_16_Sensor_tr_512_1st_1850,0.077716,0.311379,0.069087,0.248869,0.162915,0.994505,0.190520,0.043462
003_MSL_id_2_Sensor_tr_883_1st_1238,0.139526,0.765748,0.124563,0.731907,0.260867,0.899408,0.151714,0.023009
004_MSL_id_3_Sensor_tr_530_1st_630,0.072145,0.050717,0.050104,0.042876,0.095425,0.095426,0.159047,0.017303
006_MSL_id_5_Sensor_tr_1150_1st_1250,0.168883,0.584370,0.157232,0.577564,0.290783,0.772603,0.258467,0.038041
025_MITDB_id_7_Medical_tr_37500_1st_88864,0.657740,0.930370,0.604610,0.882366,0.615256,1.000000,0.053214,0.133233
005_MSL_id_4_Sensor_tr_855_1st_2700,0.054784,0.730698,0.024078,0.598571,0.076881,0.061313,0.118512,0.020471
009_MSL_id_8_Sensor_tr_714_1st_1390,0.257530,0.932039,0.034354,0.607844,0.121949,0.347107,0.153357,0.021789
007_MSL_id_6_Sensor_tr_980_1st_3550,0.298588,0.944587,0.237102,0.922637,0.479793,0.816216,0.119157,0.019399
008_MSL_id_7_Sensor_tr_656_1st_1630,0.443103,0.915003,0.209510,0.840651,0.420794,0.156008,0.412556,0.048782
079_LTDB_id_1_Medical_tr_3618_1st_3718,0.593325,0.908204,0.438906,0.839703,0.485630,0.924831,0.503031,0.234079
010_MSL_id_9_Sensor_tr_554_1st_1172,0.118413,0.880857,0.096042,0.860848,0.221400,0.896104,0.192577,0.035802
130_OPPORTUNITY_id_2_HumanActivity_tr_1045_1st_1145,0.069873,0.331526,0.068533,0.328499,0.177448,0.166607,4821906.579685,44.987873
027_MITDB_id_9_Medical_tr_25000_1st_52255,0.022279,0.828629,0.022559,0.809464,0.069802,0.963293,0.048727,0.101325
133_OPPORTUNITY_id_5_HumanActivity_tr_1745_1st_6500,0.825528,0.983052,0.788155,0.978539,0.672354,1.000000,11.982051,0.380755
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995,0.050482,0.445003,0.043184,0.401721,0.094395,0.699681,5726866.510209,53.619936
129_OPPORTUNITY_id_1_HumanActivity_tr_1801_1st_1901,0.018303,0.161265,0.017481,0.154258,0.059361,0.077344,4131022.959187,46.465536
131_OPPORTUNITY_id_3_HumanActivity_tr_7016_1st_26691,0.009107,0.361626,0.008643,0.354904,0.026102,0.023244,2.838537,0.371175
144_SMAP_id_1_Sensor_tr_2052_1st_5300,0.951288,0.981179,0.941021,0.976811,0.945594,1.000000,0.338351,0.082332
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577,0.016782,0.213066,0.015222,0.176505,0.043585,0.042089,5391214.063871,56.397419
153_SMAP_id_10_Sensor_tr_1840_1st_4030,0.017886,0.772886,0.007521,0.636559,0.017857,0.172269,0.624850,0.105313
155_SMAP_id_12_Sensor_tr_1907_1st_4800,0.464624,0.903147,0.580882,0.897364,0.679240,1.000000,0.708558,0.107448
154_SMAP_id_11_Sensor_tr_2117_1st_4770,0.051926,0.801961,0.044818,0.735340,0.113633,0.778135,0.670911,0.117019
135_OPPORTUNITY_id_7_HumanActivity_tr_2085_1st_2185,0.030090,0.335766,0.026797,0.298287,0.074860,0.490134,3818799.479718,41.258626
156_SMAP_id_13_Sensor_tr_1173_1st_2750,0.609397,0.978861,0.203919,0.863134,0.457512,0.927273,51.018751,0.281812
136_OPPORTUNITY_id_8_HumanActivity_tr_1495_1st_1595,0.015085,0.146173,0.013818,0.162563,0.046078,0.045301,3975203.535080,40.239308
159_SMAP_id_16_Sensor_tr_1757_1st_2650,0.451510,0.802229,0.419440,0.779358,0.613079,0.919383,0.032385,0.008558
157_SMAP_id_14_Sensor_tr_2126_1st_5000,0.102127,0.732515,0.073669,0.662346,0.172040,0.920000,0.302229,0.058207
158_SMAP_id_15_Sensor_tr_2075_1st_5610,0.602575,0.995668,0.591705,0.983077,0.633536,1.000000,0.323977,0.063422
160_SMAP_id_17_Sensor_tr_1832_1st_5300,0.853862,0.963712,0.798198,0.938714,0.764841,1.000000,0.335062,0.082518
162_SMAP_id_19_Sensor_tr_1908_1st_4690,0.055527,0.858391,0.171205,0.726957,0.277775,1.000000,0.011953,0.012676
082_LTDB_id_4_Medical_tr_4456_1st_4556,0.380283,0.784523,0.311196,0.695767,0.403596,0.883258,0.136626,0.181497
161_SMAP_id_18_Sensor_tr_2075_1st_5550,0.339957,0.879983,0.358017,0.867903,0.467680,1.000000,0.315061,0.059618
145_SMAP_id_2_Sensor_tr_2133_1st_5400,0.327619,0.728351,0.332717,0.716092,0.419771,1.000000,0.297158,0.054749
166_SMAP_id_23_Sensor_tr_1113_1st_1890,0.211971,0.816329,0.209838,0.801860,0.357139,1.000000,65.999986,0.186637
163_SMAP_id_20_Sensor_tr_2051_1st_4575,0.175676,0.758741,0.182373,0.696828,0.258683,0.997319,0.734260,0.113344
164_SMAP_id_21_Sensor_tr_1976_1st_4200,0.011023,0.664817,0.006829,0.551785,0.020673,0.209016,0.595916,0.100038
165_SMAP_id_22_Sensor_tr_2129_1st_5000,0.095089,0.674378,0.078736,0.623309,0.164549,0.938976,0.313891,0.059290
169_SMAP_id_26_Sensor_tr_1811_1st_4510,0.018530,0.455099,0.011182,0.453092,0.022116,0.000000,0.000009,0.002960
167_SMAP_id_24_Sensor_tr_2094_1st_5600,0.512527,0.982488,0.103586,0.913029,0.335762,0.561644,0.289546,0.047982
168_SMAP_id_25_Sensor_tr_1998_1st_2098,0.049562,0.429343,0.058962,0.487427,0.124995,0.708772,0.000680,0.006479
170_SMAP_id_27_Sensor_tr_2160_1st_4690,0.011565,0.520536,0.007454,0.395108,0.019696,0.023866,0.806885,0.108902
146_SMAP_id_3_Sensor_tr_2128_1st_5000,0.095423,0.773179,0.071672,0.699581,0.180334,0.944000,0.300770,0.057481
147_SMAP_id_4_Sensor_tr_2160_1st_6449,0.015090,0.438360,0.011799,0.365456,0.027622,0.603491,0.650595,0.107234
148_SMAP_id_5_Sensor_tr_2011_1st_5060,0.015444,0.453012,0.008826,0.450270,0.017498,0.000000,0.000010,0.002966
149_SMAP_id_6_Sensor_tr_2128_1st_5000,0.093131,0.562942,0.076132,0.512912,0.164905,0.922010,0.314232,0.059742
151_SMAP_id_8_Sensor_tr_1971_1st_4870,0.606574,0.953148,0.409836,0.841217,0.520321,1.000000,0.710998,0.104317
150_SMAP_id_7_Sensor_tr_2077_1st_5394,0.443024,0.927633,0.420452,0.911132,0.434585,1.000000,0.300684,0.075252
152_SMAP_id_9_Sensor_tr_2073_1st_5600,0.176424,0.764974,0.194168,0.755113,0.200931,1.000000,0.294250,0.061609
081_LTDB_id_3_Medical_tr_500_1st_26,0.517732,0.699045,0.418244,0.616003,0.484156,0.924019,0.211081,0.223379
066_SMD_id_10_Facility_tr_2634_1st_2734,0.415433,0.874777,0.516159,0.865162,0.485632,0.895421,1.062401,0.303487
057_SMD_id_1_Facility_tr_4529_1st_4629,0.129973,0.824525,0.121750,0.804762,0.250199,0.457011,0.633445,0.197067
068_SMD_id_12_Facility_tr_1099_1st_1199,0.188042,0.620710,0.378940,0.799065,0.419312,0.500000,0.732854,0.194468
067_SMD_id_11_Facility_tr_1980_1st_2080,0.037647,0.397233,0.040236,0.384603,0.095889,0.091104,1.298451,0.274718
080_LTDB_id_2_Medical_tr_500_1st_266,0.211165,0.603319,0.160965,0.509548,0.258819,0.537853,0.087363,0.176179
073_SMD_id_17_Facility_tr_5926_1st_10620,0.196074,0.944529,0.346340,0.916048,0.441713,0.714286,13.055049,0.388133
071_SMD_id_15_Facility_tr_1109_1st_1209,0.318795,0.698726,0.550565,0.857740,0.620583,0.577367,1.641149,0.206400
069_SMD_id_13_Facility_tr_5925_1st_12760,0.164209,0.607884,0.120626,0.525543,0.235028,0.213553,3.309266,0.313819
