dataset_id      , family     , n_eval_rows, n_channels, n_kept_train_baseline, n_kept_val_baseline, sliding_window, vus_pr_raw_max      , vus_roc_raw_max     , auc_pr_raw_max       , auc_roc_raw_max     , standard_f1_raw_max , pa_f1_raw_max       , vus_pr_raw_mean     , vus_roc_raw_mean    , auc_pr_raw_mean      , auc_roc_raw_mean    , standard_f1_raw_mean, pa_f1_raw_mean      , vus_pr_raw_median    , vus_roc_raw_median , auc_pr_raw_median    , auc_roc_raw_median , standard_f1_raw_median, pa_f1_raw_median    , vus_pr_z_train_max  , vus_roc_z_train_max, auc_pr_z_train_max   , auc_roc_z_train_max, standard_f1_z_train_max, pa_f1_z_train_max   , vus_pr_z_train_mean , vus_roc_z_train_mean, auc_pr_z_train_mean  , auc_roc_z_train_mean, standard_f1_z_train_mean, pa_f1_z_train_mean  , vus_pr_z_train_median, vus_roc_z_train_median, auc_pr_z_train_median, auc_roc_z_train_median, standard_f1_z_train_median, pa_f1_z_train_median, vus_pr_z_val_max     , vus_roc_z_val_max  , auc_pr_z_val_max     , auc_roc_z_val_max   , standard_f1_z_val_max, pa_f1_z_val_max     , vus_pr_z_val_mean   , vus_roc_z_val_mean , auc_pr_z_val_mean    , auc_roc_z_val_mean  , standard_f1_z_val_mean, pa_f1_z_val_mean    , vus_pr_z_val_median , vus_roc_z_val_median, auc_pr_z_val_median  , auc_roc_z_val_median, standard_f1_z_val_median, pa_f1_z_val_median
Exathlon_id_2   , Exathlon   ,       35685,          8,                     8,                   8,             10, 0.36027397958218776 , 0.5683311243537884  , 0.35182887052915496  , 0.5660169605519056  , 0.46768556270072154 , 0.9870976150136843  , 0.3597123653339786  , 0.5460314193954457  , 0.3493551884860128   , 0.5437731650993303  , 0.4858767225798377  , 0.9867118290776447  , 0.30089737017706797  , 0.3990417865179815 , 0.30062227961452465  , 0.3966720322613371 ,   0.44784818340084115 , 1.0                 , 0.537244524918615   , 0.8769660601099016 , 0.5276287725398643   , 0.8756691360380695 ,    0.6664696955706355  , 0.9868403908794788  , 0.46348190437002046 ,  0.7261061157100005 , 0.45270421308381603  , 0.7241610229742323  ,     0.5889705248997407  , 0.9863263445761167  , 0.29153433061020695  ,    0.3859388444390563 , 0.281149215370895    ,    0.38340830520870994,       0.4430039396528299  , 0.9858128335285695  , 0.6968115594730638   , 0.9751887599847593 , 0.6870531629952947   , 0.9742478612658145  , 0.801841965733519    , 0.9964478358110775  , 0.6761907092237487  , 0.9607612347574037 , 0.6636652295025918   , 0.9598296486935038  ,  0.7724430465458406   , 0.9852998569012619  , 0.29681584645697606 ,  0.3858093986780205 , 0.29608396243795954  ,  0.38332047622589216,    0.44451586578530766  , 1.0
Exathlon_id_20  , Exathlon   ,       37465,          7,                     7,                   7,             10, 0.2669979852770356  , 0.47082565417442396 , 0.25787854826866674  , 0.46816405931726063 , 0.4342701535134655  , 0.9973087274125336  , 0.27397209569325226 , 0.46171014214587236 , 0.26365594636500556  , 0.45900155359472194 , 0.46514038057459306 , 0.9592012818932577  , 0.24984897387383312  , 0.392449879436276  , 0.24144680940449753  , 0.38969941599347413,   0.44623362381940196 , 0.958728594308242   , 0.49104478817423    , 0.8877470411614294 , 0.48146378795591444  , 0.8863927208845275 ,    0.6312179576802798  , 0.9885670731707317  , 0.36759713374321606 ,  0.677994371330038  , 0.35762201115927544  , 0.6756775707018955  ,     0.5256323673841393  , 0.9608593653537474  , 0.24658945116519637  ,    0.38055608727589757, 0.23553660112274136  ,    0.3776680604777338 ,       0.45250749693439674 , 0.9624041553302003  , 0.6843606937195511   , 0.9753765872922809 , 0.6818616624844797   , 0.9743025956168592  , 0.797398549543468    , 1.0                 , 0.6123128979182186  , 0.9606390020103976 , 0.5994870561551808   , 0.9595694223662249  ,  0.750115617114349    , 0.9505313301575669  , 0.24964622823923352 ,  0.3795538282487559 , 0.23957859374733617  ,  0.376925945399211  ,    0.44876150761781813  , 0.9728716089511189
CATSv2_id_1     , CATSv2     ,       83145,         17,                    17,                  17,             97, 0.19790930334673987 , 0.7668451375676744  , 0.1934092473754785   , 0.744602508841733   , 0.29031808206901266 , 0.7013757755597518  , 0.16479566852429411 , 0.7644978481281706  , 0.16417356358574475  , 0.7402561646527164  , 0.24338973866960875 , 0.7699711260827719  , 0.02521816032717381  , 0.5039915405316502 , 0.023716144014330014 , 0.49769219103055307,   0.051116063703944746, 0.4686976899899565  , 0.28825483040631644 , 0.7817692099914584 , 0.25690063399776025  , 0.7599136273209549 ,    0.4048510711369312  , 0.2608695652173913  , 0.2051015686135269  ,  0.7565546622027572 , 0.18721786003805224  , 0.731937199135475   ,     0.31876116848832853 , 0.585308750365818   , 0.026020806254954836 ,    0.5453061946584    , 0.02401884321186558  ,    0.5324889294134985 ,       0.052741078853338556, 0.425531914893617   , 0.19637505940513114  , 0.7411687449822026 , 0.19053843676971818  , 0.7178833136850379  , 0.30773501965844197  , 0.2608695652173913  , 0.15454505360027868 , 0.7119892396575808 , 0.16019485186790353  , 0.6866834720994204  ,  0.2906293210719934   , 0.5889281507656066  , 0.02676769586724395 ,  0.5499881322598033 , 0.024583197996598177 ,  0.5314359711170056 ,    0.05319226576086813  , 0.4605174048489774
Exathlon_id_23  , Exathlon   ,       34708,         18,                    18,                  18,             27, 0.7580627082710428  , 0.9844695041063037  , 0.7504692883106877   , 0.9838197167781051  , 0.8544951717391094  , 1.0                 , 0.7676501678844747  , 0.9854919968711637  , 0.7597614786145418   , 0.9849042160871849  , 0.8733153147078837  , 1.0                 , 0.8831534233369732   , 0.9931703268224087 , 0.8754727298684587   , 0.9926827023372    ,   0.9187855917973099  , 1.0                 , 0.7089401613125722  , 0.9777507152416212 , 0.7026062743989601   , 0.9770378630909565 ,    0.7906802112003338  , 1.0                 , 0.7367713054818815  ,  0.9805711334141378 , 0.7304353615976353   , 0.9799403839570189  ,     0.8210239106089456  , 1.0                 , 0.8798009428272574   ,    0.9930024496389377 , 0.8703273517979498   ,    0.9924679666599697 ,       0.9198867252191721  , 1.0                 , 0.6770082831930736   , 0.9730991536778119 , 0.6768199633493915   , 0.9728231136106592  , 0.7866726754304175   , 1.0                 , 0.6772820426976417  , 0.9731306808685861 , 0.6770556199128568   , 0.9728549586495896  ,  0.7861629881930462   , 1.0                 , 0.856826638249129   ,  0.9920784919022739 , 0.8458495492945936   ,  0.9915595523103011 ,    0.9172167191137808   , 0.9994879672299027
Exathlon_id_21  , Exathlon   ,       39377,         12,                    12,                  12,            125, 0.7974892899060344  , 0.9844609776440942  , 0.7495724893056642   , 0.9804518607512068  , 0.8845695386579809  , 0.9646404449741756  , 0.7975262142945116  , 0.9844670627662003  , 0.7496609177931755   , 0.9803867116461327  , 0.884506413724403   , 0.9646404449741756  , 0.7253675755990262   , 0.9778881704536975 , 0.6833420109142202   , 0.9719763774977216 ,   0.8734734757606367  , 0.9372707971434087  , 0.7972249242349955  , 0.9843658739146701 , 0.7481369675204903   , 0.980039963639558  ,    0.8846493873770499  , 0.9646404449741756  , 0.796642590665037   ,  0.9843212384455686 , 0.7479654725218081   , 0.9799559241337843  ,     0.8852834500773549  , 0.9645446419704042  , 0.7692930239271435   ,    0.9786855751982663 , 0.7232232797678149   ,    0.9726330215515984 ,       0.8713605332267098  , 0.9831949787406358  , 0.7834274653703728   , 0.978338939081452  , 0.7308464025959318   , 0.9709755412321657  , 0.7921855348957484   , 0.9800201816347124  , 0.7874985374899998  , 0.9781827502342267 , 0.7360065620605459   , 0.9712388236035799  ,  0.7920701213015581   , 0.9838922095025833  , 0.7294086566373016  ,  0.9740602987835968 , 0.702042963222471    ,  0.9688893144865863 ,    0.8452652313743217   , 0.9256576439191765
Exathlon_id_22  , Exathlon   ,       32013,         31,                    31,                  31,            125, 0.712316694806519   , 0.9594590022809494  , 0.6777289960080439   , 0.9567360063235734  , 0.8028142076168028  , 0.995696364801758   , 0.7794403542555528  , 0.9747490627016874  , 0.7434484584997292   , 0.9724108796347568  , 0.9071053188615006  , 0.9967002749770852  , 0.934864247851067    , 0.9927879217041023 , 0.9114437633721775   , 0.9908384104520809 ,   0.9554090200000124  , 1.0                 , 0.7132575926038941  , 0.965423638258603  , 0.6929072999301299   , 0.9630556427055117 ,    0.8579107632865702  , 0.9941488389102212  , 0.7482759849873188  ,  0.9678023866485503 , 0.7243675557391599   , 0.9654435176503156  ,     0.8615828926774405  , 0.998714180749449   , 0.9227220265790446   ,    0.9920184977020274 , 0.8987684577852922   ,    0.9900072665524263 ,       0.9576514641056371  , 1.0                 , 0.6065651139115689   , 0.9206768896749659 , 0.6033809024918686   , 0.9184421151360656  , 0.6913094914407958   , 1.0                 , 0.6524708878092421  , 0.9355488352914614 , 0.6476950592125617   , 0.9334016440794817  ,  0.7382089440874969   , 1.0                 , 0.9197644880958067  ,  0.9909130496304884 , 0.8958961012222523   ,  0.9888525371459709 ,    0.9392832198296063   , 1.0
Exathlon_id_24  , Exathlon   ,       32013,         31,                    31,                  31,            125, 0.695419408478778   , 0.9564831119534055  , 0.661056877790969    , 0.9536936890884655  , 0.7954808863396704  , 0.9939670932358318  , 0.7677207926335059  , 0.9734269208180913  , 0.7318106896527676   , 0.97105418401346    , 0.9054140869668394  , 0.9939670932358318  , 0.9224586407327985   , 0.9917257388203577 , 0.8982464883470417   , 0.9897280139238239 ,   0.9539231019219839  , 1.0                 , 0.7358372658306861  , 0.9730380362843031 , 0.7113549420837728   , 0.9706810826186081 ,    0.9065402889224844  , 0.988275924747796   , 0.74572523351586    ,  0.9730029470492096 , 0.718104488732195    , 0.9706660060166323  ,     0.9108404567665739  , 0.9976146788990826  , 0.9114547488731568   ,    0.9911493433591968 , 0.8866642682882532   ,    0.989092420809378  ,       0.9559020501900208  , 1.0                 , 0.5932974555051067   , 0.9169846131367216 , 0.590287439863309    , 0.914741021601094   , 0.6862351456558908   , 1.0                 , 0.6412865856116312  , 0.9328115757699942 , 0.6371689779504307   , 0.9307187757667736  ,  0.7341099266747766   , 1.0                 , 0.9055157358535669  ,  0.9899983320314804 , 0.8812092373646524   ,  0.9878542634305907 ,    0.9363754900072191   , 1.0
Exathlon_id_4   , Exathlon   ,       34708,         18,                    18,                  18,             27, 0.7510434135383565  , 0.9841420880881339  , 0.7438227815847824   , 0.9835403218261763  , 0.8545753053566868  , 1.0                 , 0.761441997474995   , 0.9852290707281798  , 0.7534356348309263   , 0.9846464736316262  , 0.8707596921865798  , 1.0                 , 0.8844594229297449   , 0.9931718953504817 , 0.8760802601672737   , 0.9926971657361525 ,   0.9176234860162279  , 1.0                 , 0.6933591717237733  , 0.975570011495507  , 0.6871983788929786   , 0.9748807397966791 ,    0.7902404345261751  , 1.0                 , 0.7252535377053951  ,  0.9781403028968926 , 0.7201454234193      , 0.9775235052599058  ,     0.8105111757498386  , 1.0                 , 0.8755547178852455   ,    0.9928505776438633 , 0.8658522055295346   ,    0.9923094337487716 ,       0.9182619667207735  , 1.0                 , 0.6793713657788755   , 0.9727546091138534 , 0.6794202150077153   , 0.9724529762735502  , 0.7857095078879036   , 1.0                 , 0.6794997456259683  , 0.9727697019914017 , 0.6796027402475376   , 0.972478345799548   ,  0.7853821184630159   , 1.0                 , 0.8585587733640283  ,  0.9919542484569772 , 0.8453299409347121   ,  0.9914198601595942 ,    0.9161731277435582   , 0.9994879672299027
Exathlon_id_27  , Exathlon   ,       32013,         31,                    31,                  28,            125, 0.7228901378006404  , 0.962546851953637   , 0.6880897137438438   , 0.9598964373010441  , 0.8119256523568499  , 0.9946034940089636  , 0.7780799529926102  , 0.9750021100672321  , 0.7420469786119825   , 0.9726740971126657  , 0.9131191908739885  , 0.994421582075903   , 0.9282043978046826   , 0.9922044831163134 , 0.9038805891334499   , 0.9902274657332356 ,   0.9557848534468301  , 1.0                 , 0.7441905191546717  , 0.9737761300713799 , 0.7195764003647853   , 0.9714012813509532 ,    0.8921964840336957  , 0.9918817841831615  , 0.7597649912709727  ,  0.9744500785219485 , 0.7316444963722591   , 0.9720976601476611  ,     0.9105280754069306  , 0.9979809104258444  , 0.9199625465901581   ,    0.9918479235952932 , 0.8951601195017475   ,    0.9898136534049831 ,       0.9579168984256248  , 1.0                 , 0.8265911246701549   , 0.9777301702441261 , 0.7914965569913792   , 0.9753193903156357  , 0.864170382372229    , 0.9981641270424086  , 0.8111081383720479  , 0.9756819282085719 , 0.7793542631752571   , 0.973282761854918   ,  0.8701397126218603   , 0.9991730221446292  , 0.9147234190198794  ,  0.9906855062581211 , 0.8903950402369568   ,  0.9886095450460076 ,    0.9427996009834938   , 1.0
Exathlon_id_3   , Exathlon   ,       32013,         31,                    31,                  31,            125, 0.7150717098985756  , 0.9597008968954542  , 0.6799254968755902   , 0.9569148920546452  , 0.7964512652384413  , 0.9932407745706978  , 0.782384259232867   , 0.9756413796653722  , 0.7463411285941086   , 0.9732754221104503  , 0.9076051089265754  , 0.9933315063487713  , 0.9289196874593116   , 0.9924040233548169 , 0.9044444302361554   , 0.9904298564482232 ,   0.9564625560990062  , 1.0                 , 0.7313072542381284  , 0.9689309980147229 , 0.7071261959648107   , 0.9665088486952826 ,    0.8655467032251578  , 0.9948764867337603  , 0.7560309220232005  ,  0.9711270450279946 , 0.7288105392935681   , 0.968746067168754   ,     0.8714178119954638  , 0.998347410943812   , 0.9176368244030437   ,    0.9918371581914808 , 0.8932700538165668   ,    0.9898142011471076 ,       0.9599878766422268  , 1.0                 , 0.5855445857601077   , 0.9136231511889776 , 0.5827721816589765   , 0.9113762074966575  , 0.6753435646051174   , 1.0                 , 0.6354142137835235  , 0.9308648785995406 , 0.6319187525698645   , 0.9287541069276567  ,  0.7266771858188517   , 1.0                 , 0.915158439879436   ,  0.9909164298465086 , 0.8911487774812152   ,  0.9888494903304035 ,    0.9420671153818959   , 1.0
