dataset_id,family,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,sliding_window,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,status,error
Exathlon_id_15,Exathlon,129197,124861,0,0,16105,113092,17523927834796.592,476491.6238035995,0.595926539932236,0.2723337215020807,15459498605210.414,458823.2848467877,0.3038394212935528,0.2541517344132878,100454,97871,125,0.7642717946401264,0.4046039727458784,0.6642669043870378,0.5133166336272503,0.5881183972381538,0.7918781725888325,,ok,
Exathlon_id_8,Exathlon,46655,42582,0,0,2948,43707,0.3286676928027511,0.2441755336574336,0.1704375739606982,0.2455841796433646,0.2976704506584953,0.2363843434230999,0.1602259460494561,0.242249483190039,31757,30801,10,0.9750686691589632,0.5530202115473934,0.974989594405122,0.5572254962299233,0.7587891265182432,0.938554600445718,,ok,
CATSv2_id_4,CATSv2,195000,181907,0,0,5900,189100,0.0991073453100072,0.0796327253996731,0.0047281913521012,0.0423806250301918,0.0982086023131648,0.0790721680971014,0.0037298547425164,0.0401488086300538,147273,144116,73,0.8051882718317812,0.4260241312896199,0.8240856414287304,0.4700091909303233,0.546086123866644,0.7586270700342307,,ok,
Exathlon_id_7,Exathlon,43066,39262,0,0,5437,37629,0.8863226696380898,0.3524994050564895,0.5847984663305951,0.3120735958719366,0.6530658531114518,0.3372830625754378,0.3971906617722443,0.3044276924149907,26576,25907,125,0.9818938686856152,0.7656622885956066,0.9835700360117922,0.7389100433806924,0.916881907625448,0.9889949977262392,,ok,
Exathlon_id_9,Exathlon,43066,39262,0,0,5437,37629,0.8057069679180764,0.3447174304382515,0.5728449685997182,0.3069444872014645,0.6618315944096409,0.3326963947059116,0.3998665261036681,0.3039074154384798,26576,25907,125,0.9733280851495768,0.7327636032567688,0.9749934811522556,0.7162536507475306,0.8717276932297688,1.0,,ok,
Exathlon_id_17,Exathlon,129197,124861,0,0,16105,113092,18897898374296.12,493065.1973233539,0.744351790171575,0.3171823725847498,16099044414823.164,471533.17414538655,0.3230453730483153,0.2526299251571295,100454,97871,125,0.7622800134599308,0.3957752848142605,0.6630852303823636,0.4993436093577685,0.5767757034478184,0.7893738140417458,,ok,
CATSv2_id_2,CATSv2,195000,192748,0,0,6600,188400,0.156253227259995,0.200671158631875,0.0677672073529076,0.1794794668218726,0.1555773762732692,0.200105817331959,0.0669650392600588,0.1784131848857275,182708,179838,125,0.7754723890979861,0.1702020554737903,0.776559598205372,0.226081937303032,0.2678931751986786,0.7258430364433691,,ok,
CATSv2_id_6,CATSv2,200000,184426,0,0,4000,196000,0.0976647015631109,0.0823468910726134,0.0046160400473133,0.0436669759342912,0.0976709131163748,0.0823427136295889,0.0046300630007782,0.0428473948620805,145713,143609,189,0.7602826250000001,0.4055523945518492,0.8100238526711077,0.4059213461714024,0.4778686546443932,0.688622754491018,,ok,
Exathlon_id_26,Exathlon,129197,124861,0,0,16105,113092,19896100135964.027,497215.211687981,0.7367919123864665,0.2993306404751903,16896515411932.896,476165.620418686,0.3217884999691469,0.2520305482450943,100454,97871,125,0.762248205127518,0.3916793302113459,0.6627705080024744,0.4932568848284803,0.5759726737261682,0.7913760304375397,,ok,
Exathlon_id_25,Exathlon,129197,124861,0,0,16105,113092,18496222664626.01,484668.9569539518,0.7251438356883007,0.2983787873039423,15693394918643.717,463874.2048433331,0.31538046987107,0.2529831206494914,100454,97871,125,0.7628286695845149,0.3983459898091528,0.6632444170495781,0.5044730342660865,0.5804252482057365,0.7882007653155998,,ok,
Exathlon_id_5,Exathlon,129197,124861,0,0,16105,113092,19237996128179.258,497746.20947430393,0.7295245552267677,0.3093014556253765,15460342431089.725,470573.5600108103,0.3199139510026729,0.2570399588846221,100454,97871,125,0.761974149116676,0.3915879926786963,0.6624774400366865,0.4911313703506361,0.5775874247384704,0.7804016773339219,,ok,
