dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
002_MSL_id_1_Sensor_tr_500_1st_900,0.029973,0.810955,0.005429,0.401682,0.012972,0.088353,0.183436,0.087035
011_MSL_id_10_Sensor_tr_1525_1st_4590,0.257724,0.936477,0.142641,0.884779,0.382018,0.682292,290.589907,0.544324
012_MSL_id_11_Sensor_tr_539_1st_940,0.460810,0.959935,0.341640,0.871133,0.447649,0.975845,0.146300,0.053447
013_MSL_id_12_Sensor_tr_554_1st_1200,0.070336,0.890218,0.028991,0.806148,0.082408,0.590909,0.160812,0.047215
027_MITDB_id_9_Medical_tr_25000_1st_52255,0.024022,0.800232,0.041608,0.760884,0.063681,1.000000,0.044440,0.111426
016_MSL_id_15_Sensor_tr_500_1st_780,0.283357,0.812022,0.241475,0.823420,0.498808,0.677824,1854.685722,4.602856
015_MSL_id_14_Sensor_tr_575_1st_1250,0.210061,0.665503,0.199493,0.653833,0.344142,0.961661,0.223694,0.064806
014_MSL_id_13_Sensor_tr_1525_1st_4575,0.455611,0.931661,0.237820,0.879236,0.494965,0.932990,118.782236,0.392158
017_MSL_id_16_Sensor_tr_512_1st_1850,0.925932,0.987335,0.736871,0.964145,0.912563,1.000000,0.193863,0.071597
003_MSL_id_2_Sensor_tr_883_1st_1238,0.225701,0.834364,0.187514,0.796827,0.342376,0.790295,0.138111,0.036444
004_MSL_id_3_Sensor_tr_530_1st_630,0.088441,0.243270,0.061421,0.235383,0.115733,0.106655,0.151501,0.025277
079_LTDB_id_1_Medical_tr_3618_1st_3718,0.633629,0.934529,0.459310,0.876912,0.573509,0.820013,1.318222,0.626035
006_MSL_id_5_Sensor_tr_1150_1st_1250,0.160536,0.639089,0.149736,0.628314,0.246516,0.927632,0.231154,0.042076
005_MSL_id_4_Sensor_tr_855_1st_2700,0.050662,0.808816,0.046882,0.802447,0.122202,0.268431,0.114191,0.035396
007_MSL_id_6_Sensor_tr_980_1st_3550,0.746460,0.949409,0.298570,0.770449,0.571424,0.917933,0.109624,0.027006
009_MSL_id_8_Sensor_tr_714_1st_1390,0.164998,0.930761,0.018760,0.730915,0.074998,0.187500,0.188255,0.031142
010_MSL_id_9_Sensor_tr_554_1st_1172,0.114977,0.869106,0.088603,0.835843,0.191197,0.985714,0.184817,0.057375
008_MSL_id_7_Sensor_tr_656_1st_1630,0.378660,0.887413,0.219223,0.803140,0.331588,0.997753,0.410359,0.072693
130_OPPORTUNITY_id_2_HumanActivity_tr_1045_1st_1145,0.089794,0.469890,0.086119,0.463059,0.204249,0.166607,14168785.701245,97.755115
025_MITDB_id_7_Medical_tr_37500_1st_88864,0.403767,0.946123,0.344639,0.903685,0.422093,0.833484,0.033951,0.115292
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995,0.038934,0.289206,0.034853,0.271566,0.095664,0.089754,27552649.248099,179.875931
133_OPPORTUNITY_id_5_HumanActivity_tr_1745_1st_6500,0.770796,0.976874,0.682707,0.970423,0.640732,1.000000,17.596509,0.522574
131_OPPORTUNITY_id_3_HumanActivity_tr_7016_1st_26691,0.007970,0.295495,0.007655,0.287738,0.023242,0.023243,3.309568,0.432237
129_OPPORTUNITY_id_1_HumanActivity_tr_1801_1st_1901,0.018903,0.185333,0.018071,0.218952,0.057749,0.084854,20665298.639364,124.360679
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577,0.016276,0.117404,0.014952,0.108735,0.045093,0.042089,13612012.529734,114.167674
144_SMAP_id_1_Sensor_tr_2052_1st_5300,0.833120,0.981055,0.829699,0.979575,0.890751,1.000000,0.486522,0.128094
153_SMAP_id_10_Sensor_tr_1840_1st_4030,0.014018,0.759949,0.011030,0.702809,0.034998,0.473988,0.583005,0.184602
136_OPPORTUNITY_id_8_HumanActivity_tr_1495_1st_1595,0.015678,0.204417,0.014907,0.238624,0.046732,0.105039,12549647.081952,94.430987
154_SMAP_id_11_Sensor_tr_2117_1st_4770,0.056624,0.828884,0.042963,0.790456,0.112067,0.930769,0.612070,0.184224
135_OPPORTUNITY_id_7_HumanActivity_tr_2085_1st_2185,0.024822,0.198962,0.022105,0.173312,0.072833,0.149530,13577757.158655,100.568737
155_SMAP_id_12_Sensor_tr_1907_1st_4800,0.137757,0.840447,0.137738,0.831086,0.282823,0.953271,3.044330,0.218918
156_SMAP_id_13_Sensor_tr_1173_1st_2750,0.154993,0.956056,0.076493,0.896339,0.245712,0.351724,31931.758325,7.137587
158_SMAP_id_15_Sensor_tr_2075_1st_5610,0.294479,0.985707,0.311004,0.964004,0.339391,1.000000,5.454016,0.156928
157_SMAP_id_14_Sensor_tr_2126_1st_5000,0.092921,0.745939,0.085325,0.730891,0.200795,0.909396,0.293561,0.100590
159_SMAP_id_16_Sensor_tr_1757_1st_2650,0.066250,0.605226,0.057344,0.583079,0.177809,0.449275,0.050675,0.013987
161_SMAP_id_18_Sensor_tr_2075_1st_5550,0.396639,0.846602,0.388072,0.827161,0.530708,0.988732,0.306841,0.111681
160_SMAP_id_17_Sensor_tr_1832_1st_5300,0.128016,0.756963,0.111893,0.731460,0.217778,0.972856,0.303889,0.130205
162_SMAP_id_19_Sensor_tr_1908_1st_4690,0.085337,0.942310,0.042684,0.852095,0.136981,0.898551,0.145419,0.021230
145_SMAP_id_2_Sensor_tr_2133_1st_5400,0.577129,0.900131,0.505924,0.880743,0.567159,1.000000,0.278192,0.101371
166_SMAP_id_23_Sensor_tr_1113_1st_1890,0.061929,0.779875,0.048283,0.766446,0.186967,0.242604,2070.593101,1.980751
163_SMAP_id_20_Sensor_tr_2051_1st_4575,0.116506,0.853881,0.094162,0.819857,0.251393,0.835955,0.669098,0.180984
164_SMAP_id_21_Sensor_tr_1976_1st_4200,0.005491,0.262939,0.003961,0.203259,0.014007,0.018024,0.541051,0.160611
165_SMAP_id_22_Sensor_tr_2129_1st_5000,0.090427,0.654419,0.086345,0.631586,0.153069,0.966565,0.273740,0.101775
167_SMAP_id_24_Sensor_tr_2094_1st_5600,0.126432,0.954518,0.054600,0.886257,0.155168,0.845361,0.254127,0.088317
169_SMAP_id_26_Sensor_tr_1811_1st_4510,0.030314,0.725580,0.014194,0.636688,0.057943,0.022128,0.000001,0.000550
168_SMAP_id_25_Sensor_tr_1998_1st_2098,0.057594,0.520168,0.041362,0.538525,0.157115,0.687075,0.007244,0.007704
170_SMAP_id_27_Sensor_tr_2160_1st_4690,0.011892,0.579417,0.009759,0.523611,0.025099,0.487106,0.719180,0.187568
146_SMAP_id_3_Sensor_tr_2128_1st_5000,0.055824,0.705086,0.052773,0.676146,0.124386,0.895413,0.294524,0.104931
082_LTDB_id_4_Medical_tr_4456_1st_4556,0.542959,0.877897,0.394827,0.785705,0.476622,0.933620,0.152707,0.207131
147_SMAP_id_4_Sensor_tr_2160_1st_6449,0.010460,0.332055,0.008881,0.278679,0.027883,0.375194,0.566561,0.184326
148_SMAP_id_5_Sensor_tr_2011_1st_5060,0.057110,0.864048,0.022162,0.766407,0.092737,0.140594,0.000525,0.000859
150_SMAP_id_7_Sensor_tr_2077_1st_5394,0.541058,0.948950,0.479535,0.923904,0.619667,1.000000,0.288513,0.109925
149_SMAP_id_6_Sensor_tr_2128_1st_5000,0.064941,0.465327,0.060810,0.434170,0.128201,0.950000,0.300625,0.103691
151_SMAP_id_8_Sensor_tr_1971_1st_4870,0.143285,0.843695,0.072650,0.729797,0.176987,0.952941,3.369198,0.236179
152_SMAP_id_9_Sensor_tr_2073_1st_5600,0.416556,0.909341,0.420164,0.898718,0.596579,1.000000,0.282484,0.108551
022_MITDB_id_4_Medical_tr_50000_1st_54253,0.096547,0.630346,0.109817,0.590457,0.140509,0.690588,0.561779,0.343181
057_SMD_id_1_Facility_tr_4529_1st_4629,0.165901,0.832098,0.182517,0.828493,0.340523,0.562424,0.720235,0.304573
067_SMD_id_11_Facility_tr_1980_1st_2080,0.044607,0.479875,0.042093,0.465772,0.100943,0.091066,2.709129,0.356969
066_SMD_id_10_Facility_tr_2634_1st_2734,0.386296,0.814033,0.676578,0.815872,0.751564,0.891662,1.314622,0.398441
068_SMD_id_12_Facility_tr_1099_1st_1199,0.129359,0.690253,0.166375,0.832586,0.328463,0.446903,174.677673,0.510993
073_SMD_id_17_Facility_tr_5926_1st_10620,0.053734,0.899560,0.060478,0.880993,0.118761,0.408759,21.304104,0.474833
071_SMD_id_15_Facility_tr_1109_1st_1209,0.161218,0.720635,0.245089,0.889946,0.353484,0.547046,21.665107,0.418444
070_SMD_id_14_Facility_tr_1070_1st_1170,0.137082,0.751693,0.127177,0.762318,0.209735,0.372361,17.126116,0.396743
074_SMD_id_18_Facility_tr_7174_1st_21230,0.417571,0.945338,0.170855,0.789289,0.279630,0.683938,4.360260,0.234191
029_MITDB_id_11_Medical_tr_50000_1st_518037,0.222223,0.898698,0.231610,0.873162,0.500739,0.917672,0.051047,0.100513
069_SMD_id_13_Facility_tr_5925_1st_12760,0.252113,0.778064,0.191294,0.727372,0.339584,0.817318,6.516284,0.362328
076_SMD_id_20_Facility_tr_5925_1st_17580,0.402216,0.984690,0.483195,0.982983,0.554344,1.000000,19.362566,0.249775
059_SMD_id_3_Facility_tr_757_1st_857,0.040993,0.733565,0.030226,0.737729,0.112008,0.039841,13317.339050,2.527809
077_SMD_id_21_Facility_tr_3026_1st_3126,0.223027,0.875590,0.098280,0.818368,0.193706,0.112257,25.461041,0.364103
058_SMD_id_2_Facility_tr_1087_1st_1187,0.359954,0.874562,0.294125,0.914617,0.433984,0.654214,2.606748,0.310590
060_SMD_id_4_Facility_tr_7176_1st_10609,0.638634,0.985240,0.589260,0.961606,0.632732,0.856816,21.383096,0.235936
075_SMD_id_19_Facility_tr_564_1st_664,0.085116,0.723355,0.042591,0.774198,0.090833,0.609901,881.600165,1.024031
072_SMD_id_16_Facility_tr_7119_1st_15849,0.608767,0.928893,0.591067,0.955298,0.704203,0.334138,5114.126390,1.294725
078_SMD_id_22_Facility_tr_500_1st_326,0.084273,0.564640,0.055509,0.624379,0.160994,0.094805,9938.922849,3.002246
080_LTDB_id_2_Medical_tr_500_1st_266,0.164176,0.485208,0.122259,0.405214,0.258702,0.384482,0.499388,0.504761
061_SMD_id_5_Facility_tr_7176_1st_15144,0.156876,0.824575,0.181454,0.819032,0.222542,0.494262,4.752713,0.351424
