dataset_id,family,backbone,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,auroc_D_w,vus_pr_D_w,vus_roc_D_w,auc_pr_D_w,standard_f1_D_w,pa_f1_D_w,sliding_window,vus_error_D_w,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,auroc_raw_max,auroc_raw_mean,auroc_raw_median,auroc_z_train_max,auroc_z_train_mean,auroc_z_train_median,vus_pr_raw_max,vus_pr_raw_mean,vus_pr_raw_median,vus_pr_z_train_max,vus_pr_z_train_mean,vus_pr_z_train_median,vus_roc_raw_max,vus_roc_raw_mean,vus_roc_raw_median,vus_roc_z_train_max,vus_roc_z_train_mean,vus_roc_z_train_median,auc_pr_raw_max,auc_pr_raw_mean,auc_pr_raw_median,auc_pr_z_train_max,auc_pr_z_train_mean,auc_pr_z_train_median,standard_f1_raw_max,standard_f1_raw_mean,standard_f1_raw_median,standard_f1_z_train_max,standard_f1_z_train_mean,standard_f1_z_train_median,pa_f1_raw_max,pa_f1_raw_mean,pa_f1_raw_median,pa_f1_z_train_max,pa_f1_z_train_mean,pa_f1_z_train_median,n_kept_train_baseline,status,error
SMAP_id_24,SMAP,DLinear,8376,7173,0,0,41,8335,0.311771355976094,0.1387718775126886,0.31071478391189644,0.05690201260744414,0.31338898553501665,0.13485854778619463,0.30629104494235787,0.047996374821097476,5954,5572,0.6709058188362327,0.015051957578106208,0.6777819367114868,0.007579497809388095,0.02902626262260127,0.029026548672566373,125,,0.671865626874625,0.014963214984387692,0.6750221735561545,0.007601446712577077,0.02910869433533733,0.0291089811856585,,0.6709058188362327,0.7340073448724889,0.7410844660336225,0.671865626874625,0.6736038158222014,0.9247838237230602,0.015051957578106208,0.03286981113502847,0.15569086800265283,0.014963214984387692,0.011437887392035634,0.158924749602063,0.6777819367114868,0.7882296425349684,0.9400047574515844,0.6750221735561545,0.685311442262372,0.9685806660503073,0.007579497809388095,0.011480879427026084,0.026519560167090072,0.007601446712577077,0.00754932799787226,0.05023119617407151,0.02902626262260127,0.040813594518571,0.09340459444562986,0.02910869433533733,0.02870115217905307,0.12765465614241492,0.029026548672566373,0.9213483146067416,0.5899280575539568,0.0291089811856585,0.03889943074003795,0.845360824742268,18,ok,
SMAP_id_25,SMAP,DLinear,8579,7405,0,0,184,8395,0.01765279044776752,0.033243604004418933,0.00046804266476873236,0.021634293720126152,0.0047388229791953404,0.031180609064554672,0.0004680426647687316,0.021634293720126152,6193,5723,0.7052596654323227,0.10527787002635192,0.7962896220812088,0.09201138636655733,0.16443138575653965,0.7087719298245614,99,,0.7399898360825543,0.12544825990808867,0.841313810589475,0.10107254348023484,0.1699558463351486,0.7087719298245614,,0.7052596654323227,0.699947885646218,0.5,0.7399898360825543,0.7061426962218713,0.45955926146515785,0.10527787002635192,0.09817293232164044,0.03124497635716361,0.12544825990808867,0.10669681662289902,0.03124497635716361,0.7962896220812088,0.7910346261078565,0.5025200444729709,0.841313810589475,0.7969399983498352,0.463508728213293,0.09201138636655733,0.08589731399487409,0.021447721179624665,0.10107254348023484,0.09327637424080606,0.021447721179624665,0.16443138575653965,0.13290726498957667,0.04199433953048176,0.1699558463351486,0.1699558463351486,0.04199433953048176,0.7087719298245614,0.7087719298245614,0.0,0.7087719298245614,0.7087719298245614,0.0,11,ok,
SMAP_id_26,SMAP,DLinear,7244,6126,0,0,81,7163,5.589479276965225e-05,0.006717462484077313,5.086432553647721e-05,0.0071319229900836945,5.25083253911047e-05,0.0066797033537770445,5.086432553647776e-05,0.0071319229900836945,5065,4683,0.46831712348953725,0.018529707329860534,0.45509901732852504,0.010876921468157448,0.02211582224298112,0.18903150525087514,125,,0.4503001535669412,0.018529707329860534,0.4530747258305497,0.011181667586968525,0.02211582224298112,0.0,,0.46831712348953725,0.6064515350661751,0.5,0.4503001535669412,0.4503001535669412,0.45155661035878825,0.018529707329860534,0.02947630877057147,0.018529707329860534,0.018529707329860534,0.018529707329860534,0.018529707329860534,0.45509901732852504,0.7096114908926205,0.501867131247274,0.4530747258305497,0.4530747258305497,0.45509901732852504,0.010876921468157448,0.013944051227780065,0.011181667586968525,0.011181667586968525,0.011181667586968525,0.011181667586968525,0.02211582224298112,0.059271993771851855,0.02211582224298112,0.02211582224298112,0.02211582224298112,0.02211582224298112,0.18903150525087514,0.022119060622610594,0.0,0.0,0.0,0.0,6,ok,
SMAP_id_27,SMAP,DLinear,8640,7418,0,0,85,8555,0.7314717743245616,0.20919845087390557,0.9327245307944808,0.13932372427743228,0.7158836016581989,0.2079338611755363,0.8793557987216799,0.13447865192600053,6108,5726,0.7664399903737065,0.03498092359487779,0.8361064363824314,0.02461307848324468,0.059897737923104724,0.6692913385826772,125,,0.5494461443256438,0.015994036404657984,0.6354563660209734,0.011474210737941694,0.030819430734104668,0.6367041198501873,,0.7664399903737065,0.6528868566713653,0.7045532368412005,0.5494461443256438,0.525950424588304,0.5685536493966378,0.03498092359487779,0.01728460933835028,0.02355988853652527,0.015994036404657984,0.013318760790539733,0.014599054613447836,0.8361064363824314,0.6965541333489145,0.7137942069603266,0.6354563660209734,0.6085598401217195,0.6449886842168727,0.02461307848324468,0.01375756944732301,0.01827299940288479,0.011474210737941694,0.009728628208532382,0.010574846920516991,0.059897737923104724,0.03405136447410955,0.05381397459905692,0.030819430734104668,0.025608334312298694,0.028163556409046907,0.6692913385826772,0.3655913978494624,0.38288288288288286,0.6367041198501873,0.5723905723905723,0.39260969976905313,17,ok,
LTDB_id_2,LTDB,DLinear,100000,99426,0,0,14857,85143,0.17684934722306495,0.30258262846199374,0.14432266540631,0.2762837417572425,0.17482512939507233,0.30077395346438307,0.13966576971772524,0.27158193152320126,84507,47290,0.43361960022387924,0.17530871940017476,0.50826287248603,0.12921523466744905,0.2587020494871929,0.38528638474580434,95,,0.4263826220746716,0.17261227591371928,0.5030072266598383,0.12732887919238306,0.2587020494871929,0.3842728184553661,,0.43361960022387924,0.42715497110017,0.42838771776886825,0.4263826220746716,0.42405232803900117,0.42432304285559835,0.17530871940017476,0.17297162230542526,0.17468391785449613,0.17261227591371928,0.17152856004952552,0.17106799877722048,0.50826287248603,0.4949172118953489,0.5081308307088332,0.5030072266598383,0.49690927972177806,0.5071856111777949,0.12921523466744905,0.12752668524304886,0.12944814178108444,0.12732887919238306,0.12647344950498465,0.12645439400878414,0.2587020494871929,0.2587020494871929,0.2587094134896469,0.2587020494871929,0.2587020494871929,0.2587094134896469,0.38528638474580434,0.36552894242086115,0.400177274216236,0.3842728184553661,0.37223037850790597,0.40214123812432684,3,ok,
SMAP_id_5,SMAP,DLinear,8044,6866,0,0,71,7973,0.0011749549098477234,0.01600459399940598,0.00023156719835429215,0.015217332169413567,0.0006100502248644704,0.015384584195469687,0.00023156719835428608,0.015217332169413567,5675,5293,0.45272248062563264,0.012212401174303627,0.533179250880644,0.007315908789453738,0.025170059374519917,0.04148407829389424,125,,0.4502696601028471,0.015443709584474111,0.453012344631504,0.008826454500248633,0.01749828619074046,0.0,,0.45272248062563264,0.469093754802741,0.5,0.4502696601028471,0.4503950834064969,0.45108491157657093,0.012212401174303627,0.012529135487286267,0.015443709584474111,0.015443709584474111,0.015445629727403924,0.015443709584474111,0.533179250880644,0.5156206140528304,0.5016765864476332,0.453012344631504,0.45307526656633984,0.453012344631504,0.007315908789453738,0.007644061707473056,0.008826454500248633,0.008826454500248633,0.008827551908491856,0.008826454500248633,0.025170059374519917,0.027683104295888772,0.01749828619074046,0.01749828619074046,0.017500442745796145,0.01749828619074046,0.04148407829389424,0.03728012601732738,0.0,0.0,0.017500616218880948,0.0,10,ok,
SMAP_id_4,SMAP,DLinear,8640,7418,0,0,121,8519,0.5803228123120474,0.21222144993445502,0.8569313458373619,0.1415544284294852,0.5989419078907227,0.21423502887104673,0.8687056656892725,0.14780059454127195,6072,5690,0.2346369175755894,0.010298897542920899,0.31230356347160215,0.008405241577810082,0.027634762300094522,0.4223385689354276,98,,0.31914660375107073,0.013470223551200452,0.4130257439824029,0.010936583680026882,0.0357106372617667,0.7882736156351792,,0.23463691757558944,0.26383708172010256,0.2847165160230074,0.31914660375107073,0.3596152111129328,0.3813071219510302,0.010298897542920899,0.01060929101136586,0.01852730793556525,0.013470223551200452,0.013468823635581193,0.014037239955923295,0.31230356347160215,0.33819619939466306,0.2918086526211875,0.4130257439824029,0.45446659854182675,0.4769915671766673,0.008405241577810082,0.008624297080157887,0.014004629629629629,0.010936583680026882,0.010297422545753374,0.010592275079612896,0.027634762300094522,0.027625298339095487,0.027622145125746046,0.0357106372617667,0.027625298339095487,0.027622145125746046,0.4223385689354276,0.14176918570591682,0.0,0.7882736156351792,0.5945945945945946,0.28537735849056606,18,ok,
SMAP_id_3,SMAP,DLinear,8514,7301,0,0,295,8219,0.304062806297072,0.14342174096662413,0.3420728491714555,0.07044668532933081,0.3226876863602646,0.1453060435853594,0.35001559562547896,0.07855065471114693,5804,5135,0.7322413341554603,0.08474043785761792,0.7294994275321769,0.06666153319636586,0.17109179816519438,0.8872727272727273,98,,0.8224149913078626,0.28385483213213214,0.8388526528967669,0.26630068581961747,0.4204330524307906,0.8840579710144928,,0.7322413341554603,0.7060601623769645,0.43054126342228943,0.8224149913078626,0.7046397248211564,0.5503341781444813,0.08474043785761792,0.06530088885274525,0.04172564318712179,0.28385483213213214,0.06551082456940537,0.04210929388364408,0.7294994275321769,0.7189034759861443,0.4115534834662902,0.8388526528967669,0.7303429594988061,0.5843219068881699,0.06666153319636586,0.05433506133048064,0.03078611139596274,0.26630068581961747,0.05689834363810944,0.03604001675642278,0.17109179816519438,0.143224084359936,0.06702195817014642,0.4204330524307906,0.12164807954779261,0.09610892195848701,0.8872727272727273,0.8761220825852782,0.1813452248234857,0.8840579710144928,0.8698752228163993,0.8243243243243243,18,ok,
MITDB_id_11,MITDB,DLinear,600000,584426,0,0,1750,598250,0.01766334916328218,0.0971001985812749,0.017663349163282313,0.09710019858127296,0.01716356141846118,0.09672837185213488,0.017163561418461308,0.09672837185213302,547963,546433,0.8248056326189481,0.22297465448502699,0.8538659847585871,0.43651849021543315,0.49051897184341453,1.0,59,,0.8283662663721568,0.22457589224152125,0.8581746294421728,0.4386257325150064,0.49051897184341453,1.0,,0.8248056326189481,0.8104496744074982,0.8104496744074982,0.8283662663721568,0.8201104564503612,0.8201104564503612,0.22297465448502699,0.22186939881891884,0.22186939881891884,0.22457589224152125,0.22339778953665854,0.22339778953665854,0.8538659847585871,0.8400324972173416,0.8400324972173416,0.8581746294421728,0.8496900414057846,0.8496900414057846,0.43651849021543315,0.4354935775836943,0.4354935775836943,0.4386257325150064,0.43741996019272933,0.43741996019272933,0.49051897184341453,0.4895754428451743,0.4895754428451743,0.49051897184341453,0.4898363615972812,0.4898363615972812,1.0,1.0,1.0,1.0,1.0,1.0,2,ok,
SMAP_id_8,SMAP,DLinear,7884,6718,0,0,81,7803,4.3143389738488915,0.2663881517712385,0.9867867386072363,0.1278354650090744,0.6863637797543951,0.2181540760419252,0.8439912842600674,0.13411101748223608,5545,5163,0.5653998224804324,0.15633726295783631,0.7370909141495311,0.10660384387203263,0.22806606193938217,0.9878048780487805,125,,0.571962667097017,0.15717145674787858,0.7503348682473107,0.10732854317050472,0.22806606193938217,0.9878048780487805,,0.5653998224804324,0.5082454832978136,0.2696398820966295,0.571962667097017,0.5246889847684414,0.31409255382940715,0.15633726295783631,0.15567813908274228,0.01703416242354185,0.15717145674787858,0.1562107567374187,0.010046545939529087,0.7370909141495311,0.69984954655217,0.2718666658426081,0.7503348682473107,0.7181349243884562,0.4174216682365663,0.10660384387203263,0.10587523976641082,0.010279187817258882,0.10732854317050472,0.10616456566877581,0.007039940554648735,0.22806606193938217,0.22806606193938217,0.020349000941932642,0.22806606193938217,0.22806606193938217,0.020402820723214025,0.9878048780487805,0.9878048780487805,0.02034409142283059,0.9878048780487805,0.9878048780487805,0.2857142857142857,17,ok,
