dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
079_LTDB_id_1_Medical_tr_3618_1st_3718,0.603530,0.917190,0.458466,0.857304,0.518562,0.901197,0.818604,0.446584
004_MSL_id_3_Sensor_tr_530_1st_630,0.129442,0.515099,0.089896,0.506063,0.164961,0.158793,0.161177,0.046825
006_MSL_id_5_Sensor_tr_1150_1st_1250,0.063608,0.310711,0.062201,0.301870,0.160030,0.487377,0.234354,0.058415
005_MSL_id_4_Sensor_tr_855_1st_2700,0.064581,0.823939,0.037860,0.746244,0.111208,0.453674,0.113739,0.041625
007_MSL_id_6_Sensor_tr_980_1st_3550,0.545140,0.941883,0.435347,0.815608,0.583085,1.000000,0.115871,0.042362
008_MSL_id_7_Sensor_tr_656_1st_1630,0.283822,0.854968,0.173582,0.771067,0.321039,0.950355,0.463375,0.118979
009_MSL_id_8_Sensor_tr_714_1st_1390,0.012059,0.503380,0.006092,0.400890,0.019535,0.028245,1.853702,0.189497
010_MSL_id_9_Sensor_tr_554_1st_1172,0.141552,0.882723,0.104874,0.843069,0.188114,0.971831,0.193507,0.087721
130_OPPORTUNITY_id_2_HumanActivity_tr_1045_1st_1145,0.069083,0.210445,0.065996,0.208219,0.180731,0.166607,17808604.383901,134.601531
025_MITDB_id_7_Medical_tr_37500_1st_88864,0.222718,0.876956,0.164845,0.826112,0.221820,0.918033,0.025313,0.119398
133_OPPORTUNITY_id_5_HumanActivity_tr_1745_1st_6500,0.900955,0.995586,0.809991,0.991782,0.926636,1.000000,13.895969,0.491453
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995,0.036300,0.108099,0.033635,0.096594,0.090805,0.089754,12976455.735917,100.315822
129_OPPORTUNITY_id_1_HumanActivity_tr_1801_1st_1901,0.018868,0.173406,0.017682,0.187316,0.056755,0.064945,7857574.518525,66.995709
131_OPPORTUNITY_id_3_HumanActivity_tr_7016_1st_26691,0.042061,0.873359,0.040422,0.872442,0.118132,0.171473,5.965267,0.649408
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577,0.018353,0.093898,0.017138,0.086776,0.044394,0.042089,14135855.248335,120.329426
135_OPPORTUNITY_id_7_HumanActivity_tr_2085_1st_2185,0.027543,0.269424,0.024115,0.237574,0.073577,0.072637,10613126.985612,89.662958
144_SMAP_id_1_Sensor_tr_2052_1st_5300,0.943640,0.978315,0.939983,0.975374,0.894663,1.000000,0.568970,0.226427
