dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
025_MITDB_id_7_Medical_tr_37500_1st_88864,0.753434,0.953627,0.681955,0.902379,0.731223,0.996495,0.059327,0.153635
013_MSL_id_12_Sensor_tr_554_1st_1200,0.040609,0.812584,0.019401,0.712293,0.061957,0.111349,0.172121,0.058131
016_MSL_id_15_Sensor_tr_500_1st_780,0.278977,0.801773,0.238682,0.811543,0.498808,0.733032,2397.379504,5.396827
015_MSL_id_14_Sensor_tr_575_1st_1250,0.256609,0.779063,0.249819,0.774490,0.401102,0.974110,0.238110,0.076810
014_MSL_id_13_Sensor_tr_1525_1st_4575,0.402580,0.930244,0.233869,0.877841,0.506019,0.928205,104.764106,0.406568
017_MSL_id_16_Sensor_tr_512_1st_1850,0.976425,0.997852,0.883933,0.982263,0.906588,1.000000,0.393632,0.088883
003_MSL_id_2_Sensor_tr_883_1st_1238,0.187731,0.692549,0.156246,0.656131,0.299534,0.658009,0.139480,0.037859
004_MSL_id_3_Sensor_tr_530_1st_630,0.090744,0.264618,0.063021,0.257038,0.118568,0.116346,0.163839,0.037376
005_MSL_id_4_Sensor_tr_855_1st_2700,0.052831,0.804872,0.040235,0.767007,0.102995,0.350617,0.121054,0.047810
006_MSL_id_5_Sensor_tr_1150_1st_1250,0.063884,0.323726,0.062399,0.314012,0.158693,0.465347,0.241268,0.060046
079_LTDB_id_1_Medical_tr_3618_1st_3718,0.661334,0.942410,0.473829,0.887781,0.606488,0.807981,1.004296,0.546557
007_MSL_id_6_Sensor_tr_980_1st_3550,0.610051,0.918281,0.452763,0.771282,0.476918,1.000000,0.118815,0.043042
009_MSL_id_8_Sensor_tr_714_1st_1390,0.175815,0.906256,0.013380,0.595566,0.059405,0.175000,0.184529,0.041952
010_MSL_id_9_Sensor_tr_554_1st_1172,0.070497,0.781816,0.056456,0.754480,0.156960,0.394286,0.197758,0.073884
008_MSL_id_7_Sensor_tr_656_1st_1630,0.238691,0.825243,0.124635,0.714420,0.310704,0.622721,0.429389,0.079370
130_OPPORTUNITY_id_2_HumanActivity_tr_1045_1st_1145,0.074262,0.369752,0.071830,0.362959,0.191310,0.166607,16964907.055546,104.442154
133_OPPORTUNITY_id_5_HumanActivity_tr_1745_1st_6500,0.770661,0.977541,0.678443,0.970525,0.638597,1.000000,15.501772,0.479037
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995,0.038272,0.269347,0.033853,0.248948,0.090021,0.089754,30022903.559245,178.135846
131_OPPORTUNITY_id_3_HumanActivity_tr_7016_1st_26691,0.007236,0.220704,0.006875,0.211989,0.023247,0.023244,3.259457,0.416970
129_OPPORTUNITY_id_1_HumanActivity_tr_1801_1st_1901,0.018993,0.181245,0.018111,0.220442,0.058293,0.100291,38290767.510133,193.230653
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577,0.016238,0.116659,0.014769,0.107920,0.044203,0.042089,26404086.302241,151.582238
144_SMAP_id_1_Sensor_tr_2052_1st_5300,0.932479,0.990136,0.926116,0.987830,0.887200,1.000000,0.485910,0.126122
135_OPPORTUNITY_id_7_HumanActivity_tr_2085_1st_2185,0.025029,0.209035,0.022251,0.180471,0.073159,0.072637,15897092.037438,109.200110
136_OPPORTUNITY_id_8_HumanActivity_tr_1495_1st_1595,0.015915,0.216366,0.014932,0.241031,0.045563,0.081453,34017693.308040,161.988397
153_SMAP_id_10_Sensor_tr_1840_1st_4030,0.072012,0.929913,0.057353,0.876911,0.161611,0.931818,0.593150,0.183918
155_SMAP_id_12_Sensor_tr_1907_1st_4800,0.160781,0.853658,0.221716,0.847319,0.294113,1.000000,2.456282,0.228963
154_SMAP_id_11_Sensor_tr_2117_1st_4770,0.057122,0.836249,0.040004,0.783803,0.103187,0.773163,0.617732,0.192321
156_SMAP_id_13_Sensor_tr_1173_1st_2750,0.152003,0.952253,0.073679,0.868401,0.234330,0.345763,12945.924468,4.642596
158_SMAP_id_15_Sensor_tr_2075_1st_5610,0.241111,0.979863,0.201371,0.954888,0.333330,0.985075,3.034911,0.147079
082_LTDB_id_4_Medical_tr_4456_1st_4556,0.540734,0.875660,0.371033,0.778064,0.464120,0.843015,0.246594,0.255735
157_SMAP_id_14_Sensor_tr_2126_1st_5000,0.104359,0.653124,0.130206,0.763723,0.297042,0.884176,0.300316,0.103770
159_SMAP_id_16_Sensor_tr_1757_1st_2650,0.077633,0.650202,0.068175,0.628230,0.214785,0.474756,0.064014,0.017041
162_SMAP_id_19_Sensor_tr_1908_1st_4690,0.068669,0.896359,0.016996,0.737802,0.089170,0.213058,0.063350,0.021145
161_SMAP_id_18_Sensor_tr_2075_1st_5550,0.641340,0.912684,0.606780,0.887367,0.605500,0.998578,0.315169,0.110279
160_SMAP_id_17_Sensor_tr_1832_1st_5300,0.483695,0.918265,0.416803,0.879762,0.475826,0.992248,0.310221,0.132635
145_SMAP_id_2_Sensor_tr_2133_1st_5400,0.608120,0.905695,0.559279,0.886339,0.631285,1.000000,0.270343,0.097322
166_SMAP_id_23_Sensor_tr_1113_1st_1890,0.061099,0.779973,0.048285,0.766607,0.184356,0.239067,1286.154435,1.564209
163_SMAP_id_20_Sensor_tr_2051_1st_4575,0.385025,0.941936,0.334571,0.915710,0.420799,0.997319,0.669327,0.180066
165_SMAP_id_22_Sensor_tr_2129_1st_5000,0.120887,0.637636,0.129865,0.745748,0.268543,0.959759,0.286410,0.102140
164_SMAP_id_21_Sensor_tr_1976_1st_4200,0.005711,0.332086,0.004344,0.280682,0.015485,0.027229,0.537189,0.165602
167_SMAP_id_24_Sensor_tr_2094_1st_5600,0.129947,0.944920,0.042587,0.862341,0.140347,0.752294,0.259131,0.087963
168_SMAP_id_25_Sensor_tr_1998_1st_2098,0.080883,0.759097,0.048876,0.665897,0.155625,0.531579,0.009687,0.011010
169_SMAP_id_26_Sensor_tr_1811_1st_4510,0.029006,0.706179,0.013439,0.603347,0.058489,0.022125,0.000002,0.000455
146_SMAP_id_3_Sensor_tr_2128_1st_5000,0.088476,0.632821,0.108089,0.754252,0.255519,0.874552,0.301659,0.101323
170_SMAP_id_27_Sensor_tr_2160_1st_4690,0.023395,0.736226,0.012282,0.623560,0.030011,0.455764,0.726040,0.172246
022_MITDB_id_4_Medical_tr_50000_1st_54253,0.076918,0.627521,0.078575,0.586812,0.118003,0.579313,0.270722,0.252705
029_MITDB_id_11_Medical_tr_50000_1st_518037,0.233830,0.876886,0.352568,0.852926,0.512465,1.000000,0.070937,0.123769
148_SMAP_id_5_Sensor_tr_2011_1st_5060,0.063316,0.857056,0.022034,0.767679,0.092253,0.153182,0.000332,0.000598
147_SMAP_id_4_Sensor_tr_2160_1st_6449,0.009330,0.204108,0.007810,0.143213,0.027625,0.046592,0.575641,0.192176
150_SMAP_id_7_Sensor_tr_2077_1st_5394,0.512864,0.948748,0.457228,0.922433,0.598849,1.000000,0.290176,0.117388
151_SMAP_id_8_Sensor_tr_1971_1st_4870,0.104761,0.778812,0.041861,0.650945,0.175821,0.895028,1.791178,0.219833
149_SMAP_id_6_Sensor_tr_2128_1st_5000,0.069189,0.378595,0.067032,0.427436,0.159495,0.939929,0.310138,0.105386
152_SMAP_id_9_Sensor_tr_2073_1st_5600,0.234142,0.869085,0.238528,0.843862,0.333329,1.000000,0.287350,0.109550
067_SMD_id_11_Facility_tr_1980_1st_2080,0.055337,0.583713,0.050988,0.568915,0.122981,0.091066,2.646276,0.390062
068_SMD_id_12_Facility_tr_1099_1st_1199,0.125155,0.662326,0.170479,0.835735,0.303338,0.457014,186.683451,0.522899
057_SMD_id_1_Facility_tr_4529_1st_4629,0.147734,0.835331,0.146529,0.838362,0.258845,0.561064,0.752619,0.298978
066_SMD_id_10_Facility_tr_2634_1st_2734,0.296293,0.777019,0.669854,0.817088,0.741332,0.891662,1.354884,0.388924
080_LTDB_id_2_Medical_tr_500_1st_266,0.178695,0.505130,0.132243,0.432626,0.258779,0.410954,1.506078,0.938277
073_SMD_id_17_Facility_tr_5926_1st_10620,0.032708,0.853684,0.027653,0.848036,0.093148,0.184783,20.310369,0.525033
071_SMD_id_15_Facility_tr_1109_1st_1209,0.159608,0.700843,0.240447,0.884102,0.354207,0.536481,29.530469,0.409195
070_SMD_id_14_Facility_tr_1070_1st_1170,0.136197,0.768929,0.136479,0.780987,0.241028,0.372361,12.602060,0.381521
074_SMD_id_18_Facility_tr_7174_1st_21230,0.324717,0.954682,0.156915,0.833747,0.283072,0.500000,3.244358,0.235453
069_SMD_id_13_Facility_tr_5925_1st_12760,0.285563,0.821312,0.217080,0.774830,0.423515,0.637469,8.383073,0.410960
076_SMD_id_20_Facility_tr_5925_1st_17580,0.398542,0.984981,0.343123,0.982951,0.547441,0.891967,42.434528,0.316032
059_SMD_id_3_Facility_tr_757_1st_857,0.035453,0.690069,0.026950,0.697268,0.103777,0.025126,6054.736472,2.024140
075_SMD_id_19_Facility_tr_564_1st_664,0.081664,0.721580,0.037194,0.757825,0.084655,0.034589,1210.988391,1.283334
