dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
116_TAO_id_1_Environment_tr_500_1st_3,0.805158,0.944934,0.055419,0.496759,0.094744,0.094423,0.217411,0.357419
092_SVDB_id_9_Medical_tr_2674_1st_2774,0.573555,0.939753,0.517355,0.922434,0.617576,0.849822,0.601794,0.462942
127_TAO_id_12_Environment_tr_500_1st_24,0.825782,0.951758,0.057757,0.494551,0.092521,0.092522,0.180724,0.320451
118_TAO_id_3_Environment_tr_500_1st_7,0.328470,0.750100,0.051267,0.510737,0.094753,0.096648,0.236714,0.360466
091_SVDB_id_8_Medical_tr_500_1st_126,0.323108,0.783617,0.310403,0.740319,0.329156,0.880914,0.327497,0.339554
109_SVDB_id_26_Medical_tr_1038_1st_1138,0.230352,0.674092,0.165024,0.577854,0.263930,0.535360,0.958640,0.664604
087_SVDB_id_4_Medical_tr_5421_1st_5521,0.181742,0.795141,0.108454,0.685256,0.188026,0.881278,0.084669,0.163674
111_SVDB_id_28_Medical_tr_1791_1st_1891,0.213659,0.759546,0.134769,0.641823,0.251493,0.666506,0.910868,0.571173
123_TAO_id_8_Environment_tr_500_1st_62,0.836423,0.949177,0.049927,0.485176,0.094997,0.094882,0.414168,0.488713
097_SVDB_id_14_Medical_tr_1031_1st_1131,0.225167,0.715245,0.150564,0.607213,0.313642,0.590839,1.442595,0.750610
124_TAO_id_9_Environment_tr_500_1st_1,0.798648,0.937021,0.052215,0.498640,0.093357,0.093823,0.141179,0.283765
117_TAO_id_2_Environment_tr_500_1st_1,0.662450,0.846139,0.140184,0.494658,0.245122,0.245102,0.222400,0.365118
126_TAO_id_11_Environment_tr_500_1st_7,0.960907,0.985086,0.101197,0.517182,0.177759,0.179942,0.270159,0.399231
125_TAO_id_10_Environment_tr_500_1st_9,0.962024,0.985337,0.098834,0.507540,0.174725,0.176063,0.261969,0.390237
119_TAO_id_4_Environment_tr_500_1st_1,0.909517,0.966958,0.089152,0.468291,0.172772,0.173243,0.190678,0.334527
122_TAO_id_7_Environment_tr_500_1st_19,0.725763,0.893548,0.096541,0.503703,0.175460,0.175278,0.273593,0.400648
128_TAO_id_13_Environment_tr_500_1st_7,0.832264,0.920412,0.141496,0.508877,0.249465,0.252149,0.246291,0.382981
088_SVDB_id_5_Medical_tr_500_1st_168,0.136898,0.616181,0.105591,0.532580,0.188313,0.735030,1.070150,0.682863
120_TAO_id_5_Environment_tr_500_1st_3,0.962358,0.985837,0.103038,0.517557,0.176878,0.180129,0.231773,0.370468
121_TAO_id_6_Environment_tr_500_1st_7,0.827578,0.918867,0.142809,0.506597,0.250067,0.251208,0.270399,0.400003
172_SWaT_id_2_Sensor_tr_23700_1st_23800,0.106086,0.393716,0.101391,0.383153,0.222726,0.851826,2.082840,0.089201
