dataset_id,family,backbone,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,sliding_window,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,status,error
Genesis,Genesis,TimesNet,16220,14429,0,0,50,16170,0.41005205799699423,0.23948108562741743,0.2630482353918614,0.19288446129290593,0.4123846631393931,0.23875676643904922,0.26303300288686526,0.19240258234482338,11828,11163,125,0.8256709956709957,0.07442931028350622,0.9265962992217038,0.0159354502810107,0.06389507916839915,0.2708333333333333,,ok,
CATSv2_id_5,CATSv2,TimesNet,350000,340214,0,0,17100,332900,0.16387047076183378,0.17004374144838627,0.059284959425130936,0.11992436288738118,0.16002713122838064,0.16946800572711646,0.03600143439573203,0.11930028022520879,302096,298365,296,0.718673673407008,0.3628369022152204,0.7504542603370806,0.39026031426899815,0.444988454150049,0.6047167909695625,,ok,
CATSv2_id_3,CATSv2,TimesNet,400000,390933,0,0,28000,372000,0.19595783225209332,0.19973918522552744,0.04832674000972381,0.1407553810716537,0.19160601832231222,0.19868373868928546,0.04808456930811424,0.1403502671969944,343593,336418,125,0.7428061095430107,0.3541480353159143,0.7544859917242649,0.3638924579440107,0.42958842342532577,0.7705532655301697,,ok,
CreditCard,CreditCard,TimesNet,284807,284233,0,0,492,284315,1.3614809577773477,0.7500291197037406,1.2509108043561044,0.7313558631293465,1.3470752760565572,0.7478485621871753,1.2352089860318132,0.7322053829191408,283530,204451,30,0.614192884652586,0.03606832028595643,0.675763698976976,0.004328515954069298,0.026173425873633357,0.026490066225165563,,ok,
GHL_id_3,GHL,TimesNet,200001,184427,0,0,1919,198082,0.027722067201640305,0.03045868936784452,0.014410558006105334,0.025830409848524406,0.02765678789229455,0.030376959652166878,0.014371343038328963,0.02566411175192304,147795,147276,125,0.37344837881158366,0.007479403385557793,0.4006458749676823,0.0069217605699458664,0.022515855709291675,0.06018984830448982,,ok,
GHL_id_24,GHL,TimesNet,200001,184427,0,0,1009,198992,0.03144917084509473,0.03338433698693503,0.014178643781707936,0.022653032237703773,0.03137231818111288,0.03327787300962689,0.014188077800706647,0.022588239194668975,148705,148323,125,0.29716492131243344,0.003956746208789089,0.3296805018569681,0.003335464876146013,0.011298028180318692,0.05331008612035716,,ok,
GHL_id_25,GHL,TimesNet,200001,184427,0,0,3144,196857,0.03864528514839052,0.030171501867063674,0.012777681208338144,0.03003822405243811,0.038572783966024475,0.030077375667961342,0.01264595428517943,0.029900099124480956,146570,145899,125,0.3061612177804219,0.011224307845897707,0.33408745718470606,0.010307146630549309,0.03248055782059398,0.3691389599317988,,ok,
GHL_id_4,GHL,TimesNet,200001,184427,0,0,2713,197288,0.0368825980375278,0.036880514532021964,0.011881895345965393,0.034813250601336526,0.03671964208435422,0.03674336276427819,0.011936159169834237,0.0347071437005305,147001,146332,125,0.38407629236449203,0.011194830901392708,0.4129285840362832,0.010176180417180762,0.03480612130588806,0.2563139219369651,,ok,
GHL_id_7,GHL,TimesNet,200001,184427,0,0,1695,198306,0.039411271460806974,0.03632918689047742,0.015795996899826456,0.026200506205582612,0.03928308560333144,0.036211019571316734,0.015631720193418894,0.02594961763336784,148019,147350,125,0.5004215454159266,0.008324407858593714,0.5208552512321442,0.00760256202531347,0.02255443833942122,0.1536091349857266,,ok,
GHL_id_22,GHL,TimesNet,200001,184427,0,0,6492,193509,0.026005973697247723,0.028896310708041988,0.006757522721232523,0.024649631114800428,0.02564069083034005,0.028592229195550996,0.006440481402750179,0.024362603662401713,143222,142099,125,0.5751124475441967,0.038233221863334714,0.5926856289264397,0.03548845972770226,0.10771615553176814,0.5637632463168778,,ok,
