dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
040_GHL_id_9_Sensor_tr_50000_1st_92001,0.009496,0.358374,0.008461,0.333690,0.028286,0.251048,0.030398,0.033260
023_MITDB_id_5_Medical_tr_25000_1st_36913,0.035403,0.873155,0.050869,0.803834,0.082725,1.000000,0.074687,0.181217
028_MITDB_id_10_Medical_tr_37500_1st_39948,0.032601,0.804507,0.070104,0.721312,0.172887,0.666667,0.105486,0.190961
002_MSL_id_1_Sensor_tr_500_1st_900,0.036493,0.846585,0.008894,0.654535,0.024390,0.042802,0.183274,0.084518
011_MSL_id_10_Sensor_tr_1525_1st_4590,0.224480,0.932697,0.135935,0.894033,0.385961,0.583519,402.847826,0.636612
012_MSL_id_11_Sensor_tr_539_1st_940,0.072155,0.651510,0.057320,0.621450,0.169188,0.239053,0.141404,0.051003
027_MITDB_id_9_Medical_tr_25000_1st_52255,0.041896,0.793774,0.060129,0.751401,0.140284,0.995402,0.081206,0.152425
013_MSL_id_12_Sensor_tr_554_1st_1200,0.021252,0.640191,0.013293,0.571712,0.041006,0.023183,0.158989,0.041236
024_MITDB_id_6_Medical_tr_50000_1st_58118,0.200950,0.911115,0.499913,0.880504,0.612608,1.000000,0.107466,0.207658
016_MSL_id_15_Sensor_tr_500_1st_780,0.235628,0.803589,0.203051,0.801707,0.498808,0.537170,3655.024420,7.546708
015_MSL_id_14_Sensor_tr_575_1st_1250,0.692375,0.937044,0.681651,0.933771,0.666662,1.000000,0.220807,0.066333
014_MSL_id_13_Sensor_tr_1525_1st_4575,0.371383,0.939740,0.211791,0.910561,0.486161,0.843823,164.556820,0.452881
003_MSL_id_2_Sensor_tr_883_1st_1238,0.127247,0.737956,0.107472,0.704383,0.313622,0.397906,0.154774,0.041018
017_MSL_id_16_Sensor_tr_512_1st_1850,0.278105,0.680209,0.271883,0.647970,0.340736,1.000000,0.367767,0.074340
004_MSL_id_3_Sensor_tr_530_1st_630,0.097118,0.319723,0.067447,0.311607,0.126370,0.094902,0.224692,0.043588
006_MSL_id_5_Sensor_tr_1150_1st_1250,0.123932,0.444647,0.115338,0.432903,0.201178,0.856275,0.231210,0.043569
005_MSL_id_4_Sensor_tr_855_1st_2700,0.416151,0.976913,0.402974,0.948962,0.446923,1.000000,0.117644,0.035811
025_MITDB_id_7_Medical_tr_37500_1st_88864,0.473292,0.939817,0.410547,0.891587,0.446907,0.981543,0.078586,0.160420
007_MSL_id_6_Sensor_tr_980_1st_3550,0.097046,0.787079,0.066551,0.711173,0.180225,0.074165,0.149034,0.039499
009_MSL_id_8_Sensor_tr_714_1st_1390,0.075771,0.902685,0.015570,0.635811,0.064515,0.155556,0.255443,0.064670
008_MSL_id_7_Sensor_tr_656_1st_1630,0.222481,0.811385,0.129025,0.713667,0.297984,0.498316,0.396601,0.069088
010_MSL_id_9_Sensor_tr_554_1st_1172,0.074248,0.800459,0.059493,0.770983,0.157771,0.565574,0.183000,0.057249
130_OPPORTUNITY_id_2_HumanActivity_tr_1045_1st_1145,0.090328,0.451572,0.085639,0.444690,0.230389,0.166607,56009525.984880,242.069644
133_OPPORTUNITY_id_5_HumanActivity_tr_1745_1st_6500,0.948731,0.996260,0.918568,0.993479,0.855067,1.000000,26.368633,0.608560
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995,0.039605,0.296489,0.035255,0.279792,0.096020,0.089754,95063114.894609,390.935026
131_OPPORTUNITY_id_3_HumanActivity_tr_7016_1st_26691,0.009592,0.340709,0.008437,0.331047,0.025144,0.023244,11.900588,0.710876
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577,0.016999,0.245291,0.015575,0.224149,0.043884,0.098803,96089374.389449,388.604342
129_OPPORTUNITY_id_1_HumanActivity_tr_1801_1st_1901,0.018808,0.163434,0.017864,0.208761,0.057906,0.165397,75266021.843475,311.537232
144_SMAP_id_1_Sensor_tr_2052_1st_5300,0.756941,0.961998,0.749341,0.958399,0.886018,1.000000,0.588978,0.150333
135_OPPORTUNITY_id_7_HumanActivity_tr_2085_1st_2185,0.035392,0.394745,0.030767,0.356007,0.076562,0.521684,70042036.413504,288.926023
153_SMAP_id_10_Sensor_tr_1840_1st_4030,0.010437,0.683065,0.006412,0.593456,0.018561,0.049308,0.628666,0.186479
154_SMAP_id_11_Sensor_tr_2117_1st_4770,0.032605,0.723509,0.022238,0.645230,0.064475,0.028176,0.695517,0.198836
082_LTDB_id_4_Medical_tr_4456_1st_4556,0.521146,0.871321,0.391416,0.778520,0.470190,0.903516,0.345443,0.296974
136_OPPORTUNITY_id_8_HumanActivity_tr_1495_1st_1595,0.029403,0.229163,0.034249,0.298450,0.125980,0.335982,68603233.285119,287.733497
155_SMAP_id_12_Sensor_tr_1907_1st_4800,0.066090,0.762038,0.048366,0.751384,0.205880,0.300885,0.889115,0.224976
156_SMAP_id_13_Sensor_tr_1173_1st_2750,0.152703,0.957789,0.077133,0.914612,0.237567,0.338870,15049.220579,4.518013
159_SMAP_id_16_Sensor_tr_1757_1st_2650,0.091226,0.660237,0.080222,0.636565,0.218150,0.789091,0.052494,0.016389
158_SMAP_id_15_Sensor_tr_2075_1st_5610,0.477722,0.991010,0.386040,0.972788,0.378943,1.000000,7.509220,0.203120
157_SMAP_id_14_Sensor_tr_2126_1st_5000,0.471466,0.767507,0.804209,0.868182,0.862474,0.913997,0.349341,0.117699
162_SMAP_id_19_Sensor_tr_1908_1st_4690,0.097750,0.892445,0.045778,0.695057,0.172409,0.861111,0.108154,0.022025
160_SMAP_id_17_Sensor_tr_1832_1st_5300,0.242755,0.895973,0.216106,0.875819,0.467159,0.611187,0.321835,0.133088
161_SMAP_id_18_Sensor_tr_2075_1st_5550,0.854754,0.950782,0.834068,0.932279,0.896547,1.000000,0.375338,0.132805
145_SMAP_id_2_Sensor_tr_2133_1st_5400,0.752440,0.926464,0.728601,0.915152,0.712884,1.000000,0.315508,0.116590
166_SMAP_id_23_Sensor_tr_1113_1st_1890,0.066838,0.886389,0.050462,0.881415,0.180280,0.237681,1918.409207,2.031667
163_SMAP_id_20_Sensor_tr_2051_1st_4575,0.046313,0.702213,0.036445,0.629060,0.096396,0.044338,0.783046,0.212072
079_LTDB_id_1_Medical_tr_3618_1st_3718,0.634552,0.932459,0.455760,0.878581,0.602589,0.805446,1.259093,0.624941
164_SMAP_id_21_Sensor_tr_1976_1st_4200,0.005810,0.342271,0.004572,0.303989,0.016414,0.020795,0.583982,0.168968
165_SMAP_id_22_Sensor_tr_2129_1st_5000,0.400683,0.731299,0.603190,0.751845,0.723613,0.968528,0.326253,0.113591
