pred_len,dataset_key,family,vus_pr,vus_roc,auc_pr,auc_roc,standard_f1,pa_f1
192,MITDB_id_2,MITDB,0.0223615854079433,0.815946352770634,0.027270873935627,0.7923699891461787,0.1128502441817624,0.6561743341404358
96,MITDB_id_3,MITDB,0.0605265928699368,0.7588823546382082,0.0639943174326191,0.6795027952107509,0.1026622809068814,0.7980660180266221
192,MITDB_id_3,MITDB,0.0748023596283664,0.7701511428500606,0.0558401325922795,0.6858167009402609,0.1087966002058839,0.838702559576346
96,MITDB_id_4,MITDB,0.0955314818713743,0.6303017674168807,0.1083179889347547,0.590502944438978,0.1358594042413626,0.7413281281769754
192,MITDB_id_4,MITDB,0.1191754325748639,0.6200033901664861,0.1382484712343719,0.577566544934307,0.1595704242254204,0.7361260601885736
96,MITDB_id_5,MITDB,0.0386352183522751,0.8990737417975592,0.064711493498264,0.8236636920821605,0.0777753858760296,1.0
192,MITDB_id_5,MITDB,0.1342881290153554,0.9354681713835986,0.1454833483954348,0.8903546005052527,0.2634417640699368,1.0
96,MITDB_id_6,MITDB,0.1906985196789759,0.9273575033755016,0.3500122658313753,0.9066852144176112,0.4893218920839814,1.0
192,MITDB_id_6,MITDB,0.1873267152811656,0.8621496570542133,0.4077326271971613,0.8188932928374955,0.5315566110640113,1.0
96,MITDB_id_7,MITDB,0.42286484080059,0.9459680463943214,0.3564685264169329,0.8996450757339044,0.4313892503213374,0.8404562737642586
192,MITDB_id_7,MITDB,0.4823028897101106,0.954460371827998,0.4201778937400939,0.918288365957688,0.4501371007540771,0.9156626506024096
96,MITDB_id_8,MITDB,0.2464271826885884,0.7412275679053579,0.2544338412750966,0.7375910665407263,0.2998230355325656,0.9607311098549086
192,MITDB_id_8,MITDB,0.2068424485381984,0.7520715780445484,0.2035106624118814,0.7487573806904091,0.3416691222079626,0.87505748346245
96,MITDB_id_9,MITDB,0.0207150010982274,0.7904214471604184,0.0265045577706864,0.7530755515492938,0.0580813380692262,0.9988465974625144
192,MITDB_id_9,MITDB,0.0280053023999882,0.7823470062435771,0.0455795668988519,0.7372675648606968,0.066970661329653,1.0
96,MSL_id_1,MSL,0.055188804900104,0.8738883078652636,0.0072444014539938,0.5555166199439328,0.017241007201848,0.1170212765957446
192,MSL_id_1,MSL,0.0178910599714044,0.7721709862722003,0.0068108209587059,0.4979475370444533,0.0170931211661064,0.1476510067114094
96,MSL_id_10,MSL,0.2579107117743429,0.9372636883189388,0.1431091391207679,0.890169181995015,0.3820183175303441,0.6822916666666666
192,MSL_id_10,MSL,0.1701111410183356,0.9134760618200632,0.1053917849732945,0.8636146809405849,0.3155856131802753,0.5282258064516129
96,MSL_id_11,MSL,0.4608287376783436,0.9616217534149902,0.3434729205291091,0.8941051769410518,0.4476487962006514,0.9758454106280192
192,MSL_id_11,MSL,0.2727504815912737,0.9191493041334096,0.1327109920469637,0.8267158102671581,0.2810557953930811,0.6273291925465838
96,MSL_id_12,MSL,0.0460830757055569,0.837490902890565,0.0207818807056332,0.7315412689500281,0.0624993945371154,0.4126984126984127
192,MSL_id_12,MSL,0.091685318484581,0.9224531992172312,0.0397363044158919,0.8640160022459292,0.1039490813158985,0.6265060240963856
96,MSL_id_13,MSL,0.4560392634881125,0.9335177418372784,0.2386082473941397,0.8866465236493771,0.4949651878704937,0.9329896907216496
192,MSL_id_13,MSL,0.2365146043932569,0.908392481082352,0.1584564043468325,0.8628081307597315,0.4098030254321305,0.6921606118546845
96,MSL_id_14,MSL,0.2423383428610123,0.727325937806234,0.2351428740631324,0.7185057467449494,0.4029147814977145,0.9933993399339934
192,MSL_id_14,MSL,0.2090800360573401,0.744218915802901,0.2018810828260755,0.7382750140225223,0.4054020404096316,0.8775510204081632
96,MSL_id_15,MSL,0.2836688570531654,0.8143578356519612,0.2419438378277457,0.8271042029616725,0.4988084463832796,0.6778242677824268
192,MSL_id_15,MSL,0.1675703708257797,0.5137335299280023,0.1995600407808404,0.7156876088850174,0.5046683538029976,0.680672268907563
96,MSL_id_16,MSL,0.3152603410980918,0.7808800279240984,0.233641731765912,0.6943077359896836,0.3049718005653479,1.0
192,MSL_id_16,MSL,0.5707941879205933,0.9253544344406592,0.4382608981471833,0.8859802193381997,0.5399012161830105,0.9972451790633609
96,MSL_id_2,MSL,0.1304854852032217,0.7729223302285216,0.114254696753804,0.7413235613982037,0.3021213674571504,0.6137281292059219
192,MSL_id_2,MSL,0.263659922693109,0.7200976261445253,0.278259062962033,0.669856338760418,0.3054709977493823,0.7487684729064039
96,MSL_id_3,MSL,0.1133566687687116,0.4310287593826633,0.0787247885491216,0.4229103508012126,0.145957633673806,0.1448234590065829
192,MSL_id_3,MSL,0.075423896059528,0.1159463173530821,0.0523809523809523,0.1089216110870506,0.0995465653946274,0.0949019607843137
96,MSL_id_4,MSL,0.1326045639218313,0.907689810163752,0.0554046912080677,0.8201966198864329,0.1263393327566203,0.6425339366515838
192,MSL_id_4,MSL,0.2605091857751674,0.9157685200965702,0.1962632674835633,0.8328899088352857,0.2666622876002567,1.0
96,MSL_id_5,MSL,0.1291530803550524,0.4804555212010465,0.1190179621956143,0.4689891792029559,0.200679156884699,0.9266155531215772
192,MSL_id_5,MSL,0.0844175079110383,0.3266930520161153,0.075236082875298,0.3946956807168057,0.1751348785296131,0.4010840108401084
96,MSL_id_6,MSL,0.7371851672736608,0.9455666087928036,0.2961169829421689,0.7921941761894978,0.5689100214564453,0.917933130699088
192,MSL_id_6,MSL,0.7630367863646973,0.9432214834880012,0.3709603888737202,0.7890400951141597,0.4910438524538541,1.0
96,MSL_id_7,MSL,0.4738087633283844,0.9168115258021846,0.348071705509379,0.890832780345889,0.4748820607670004,0.9481132075471698
192,MSL_id_7,MSL,0.5028322107837261,0.9049438132490484,0.3905838977722887,0.918780203424398,0.5012682112869765,0.9370629370629372
96,MSL_id_8,MSL,0.1606430661256549,0.8927956456544803,0.0123904164898628,0.5488368186780885,0.0552977910467899,0.1875
192,MSL_id_8,MSL,0.0465444230561136,0.850605556407582,0.0101067488334706,0.6515831023767531,0.0322317382042172,0.0956719817767653
96,MSL_id_9,MSL,0.0961397164734703,0.8388376325615795,0.0783804418210465,0.8034572099425149,0.1510776189273124,0.9857142857142858
192,MSL_id_9,MSL,0.1248667617766644,0.8872073182429617,0.0983258843769608,0.8668191509459423,0.2317268979391933,0.8117647058823529
96,OPPORTUNITY_id_1,OPPORTUNITY,0.0202496693467376,0.22946409703785,0.019448743236141,0.2686554331880028,0.0580019306678708,0.2830917874396135
192,OPPORTUNITY_id_1,OPPORTUNITY,0.0223545599391391,0.226964596252021,0.0229859597855603,0.2700901861232927,0.0602610517503695,0.2735760971055089
96,OPPORTUNITY_id_2,OPPORTUNITY,0.0888101043127226,0.4494086854756833,0.0847713688895922,0.4412367101208214,0.2074896793897011,0.1666074600355239
192,OPPORTUNITY_id_2,OPPORTUNITY,0.0928168198880361,0.4023985071286724,0.0891944319793824,0.3956950355222153,0.2044891168820943,0.1666074600355239
96,OPPORTUNITY_id_3,OPPORTUNITY,0.0090579592992451,0.33027037701901,0.0083068210851084,0.3217411350307226,0.0272120598426085,0.0232435287902799
192,OPPORTUNITY_id_3,OPPORTUNITY,0.0104464537135538,0.3819063016716249,0.0094003519135677,0.3807834255447466,0.0339258629574643,0.0232435287902799
96,OPPORTUNITY_id_4,OPPORTUNITY,0.0513048007936139,0.4569778062788538,0.0440806944537795,0.4140700683261256,0.1073680582925294,0.5090063916327716
192,OPPORTUNITY_id_4,OPPORTUNITY,0.044828181302695,0.2974832477885307,0.0397263309089078,0.2535432453753311,0.09065421061255,0.3057591623036649
