pred_len,backbone,dataset_key,family,vus_pr,vus_roc,auc_pr,auc_roc,standard_f1,pa_f1,status
24,TTM,MITDB_id_8,MITDB,0.1220986798696373,0.5949521447684188,0.134957589051521,0.5922870274921088,0.1527296856718767,0.9840197629984174,ok
48,TTM,MITDB_id_8,MITDB,0.1839325761690469,0.6214395982345439,0.1969664233250032,0.6188673242052963,0.2406908314081797,0.9774923312883436,ok
96,TTM,MITDB_id_8,MITDB,0.2244114658193796,0.6477054233801729,0.2388170017181245,0.6452760918105085,0.2782349990596025,0.9356331184544204,ok
192,TTM,MITDB_id_8,MITDB,0.2027758307105291,0.6910788989192851,0.2159299267151937,0.6883698981990775,0.255863550368019,0.9029255798852855,ok
336,TTM,MITDB_id_8,MITDB,0.2665722124821533,0.740692857630112,0.2978174617523065,0.7386038576584177,0.3014340635450051,0.8472938029424878,ok
12,TTM,MITDB_id_9,MITDB,0.0096511222419128,0.7361747758159614,0.0091765898873808,0.716460286899086,0.0275407751492449,0.5258044930176078,ok
24,TTM,MITDB_id_9,MITDB,0.0101232640854068,0.7704162313895591,0.0096627968117141,0.7507176049198341,0.0276239822332123,0.4616204690831556,ok
48,TTM,MITDB_id_9,MITDB,0.0097766821374379,0.7705649565419213,0.0094199354202535,0.7559308480083659,0.0266306881437735,0.4618666666666666,ok
96,TTM,MITDB_id_9,MITDB,0.0483418747592462,0.832933770142491,0.0894187529009501,0.8177937026214965,0.1664515368440591,0.9988465974625144,ok
192,TTM,MITDB_id_9,MITDB,0.0680417570900572,0.8428070314685422,0.1580010223996039,0.8232577081859139,0.2243453758331011,1.0,ok
336,TTM,MITDB_id_9,MITDB,0.0413546173973312,0.7836450182668452,0.11162489831488,0.7567202708281129,0.1599962807064969,1.0,ok
12,TTM,MSL_id_1,MSL,0.0167269214504175,0.7012969584955537,0.0052806921802685,0.4238586303564277,0.0136052568544147,0.0630372492836676,ok
24,TTM,MSL_id_1,MSL,0.0180828662311084,0.719753487479467,0.0055667111583233,0.4343712454945935,0.0139663279974351,0.0797101449275362,ok
48,TTM,MSL_id_1,MSL,0.0143332571161966,0.6602212779725523,0.0051003429271339,0.3925210252302764,0.012702739386366,0.039568345323741,ok
96,TTM,MSL_id_1,MSL,0.0175976603904953,0.7226484718979761,0.0070478428655198,0.5257809371245495,0.0172038391614367,0.1116751269035533,ok
192,TTM,MSL_id_1,MSL,0.019187114954283,0.8005562041662393,0.0102377907920633,0.5702843412094514,0.0307676817347926,0.2037037037037037,ok
336,TTM,MSL_id_1,,,,,,,,
12,TTM,MSL_id_10,MSL,0.4590723270716644,0.9345237871071794,0.4208793286207413,0.8940384096457652,0.4756715418912932,1.0,ok
24,TTM,MSL_id_10,MSL,0.6918560747240622,0.9717489514998168,0.6346036699856776,0.9393021706296782,0.7029657381924899,1.0,ok
48,TTM,MSL_id_10,MSL,0.8421166624149579,0.9692951022931824,0.6678286937551897,0.9402677190931774,0.759488726553935,1.0,ok
96,TTM,MSL_id_10,MSL,0.6676304331175864,0.9671012697291332,0.357815270095837,0.9354821795562058,0.673534568593675,0.9065743944636678,ok
192,TTM,MSL_id_10,MSL,0.3836571145716926,0.9568346797645254,0.2020761845611565,0.9244378397803408,0.4987232909641189,0.7774480712166172,ok
336,TTM,MSL_id_10,MSL,0.2602673044614353,0.9316247790569188,0.1256183982524147,0.8716485557057521,0.3664679319007407,0.7298050139275766,ok
12,TTM,MSL_id_11,MSL,0.1033461446455363,0.7242617298331887,0.0784596823549916,0.6146949001469489,0.163038526260994,0.9395348837209302,ok
24,TTM,MSL_id_11,MSL,0.1776239714995816,0.7424187149584663,0.1605501046872604,0.6747127267471272,0.3229116803070335,0.9483568075117372,ok
48,TTM,MSL_id_11,MSL,0.4312770670337109,0.9238040321806856,0.3912821113457261,0.8627737226277372,0.5613985738353161,0.9351851851851852,ok
96,TTM,MSL_id_11,MSL,0.9673324415023368,0.9844220452854886,0.8172927966923607,0.8761195827611957,0.8522678364175296,1.0,ok
192,TTM,MSL_id_11,MSL,0.9550719442630248,0.9846942125851224,0.7685458120275129,0.8813567488135675,0.7530817246139391,1.0,ok
336,TTM,MSL_id_11,MSL,0.2523960656559433,0.3444930198073155,0.0473955889253871,0.1160583941605839,0.0905009280578956,0.0895390070921985,ok
12,TTM,MSL_id_12,MSL,0.1694381617401129,0.9233737029345958,0.0275788364895406,0.7708801235261089,0.073392394639713,0.0235507246376811,ok
24,TTM,MSL_id_12,MSL,0.1941971585251498,0.9493553666458676,0.0379435137117126,0.8501368613138687,0.0965134483998637,0.0232870577698163,ok
48,TTM,MSL_id_12,MSL,0.1959149787757376,0.9452748454764396,0.0281488145669452,0.8019195676586187,0.0720403142303106,0.1818181818181818,ok
96,TTM,MSL_id_12,MSL,0.1567853421982939,0.9358074116066788,0.0304303742964002,0.8201852891633914,0.0836112083840193,0.241860465116279,ok
192,TTM,MSL_id_12,MSL,0.1274406917106681,0.9246802724669732,0.024871340473447,0.7758457327344188,0.0630365320563375,0.2331838565022421,ok
336,TTM,MSL_id_12,MSL,0.1979754802577855,0.9491623475637054,0.0347657748175941,0.8444869455362155,0.0998071131569863,0.2653061224489796,ok
12,TTM,MSL_id_13,MSL,0.4573392747215982,0.9296828929352094,0.4100046435326449,0.8979851382242222,0.3999950059399034,1.0,ok
24,TTM,MSL_id_13,MSL,0.6504081921160572,0.9638592384046007,0.5877423157973141,0.9308547527906668,0.5634880162170264,1.0,ok
48,TTM,MSL_id_13,MSL,0.8288364769363405,0.9589419433568116,0.7558260065844106,0.9257284575657192,0.8322532052312855,1.0,ok
96,TTM,MSL_id_13,MSL,0.8226640328880234,0.9594743017011492,0.6904208145307548,0.9298177327624588,0.7800536700208842,1.0,ok
192,TTM,MSL_id_13,MSL,0.6010074303668487,0.9528359959175524,0.3498620474685929,0.9192571165616112,0.6013618964592667,0.9627659574468084,ok
336,TTM,MSL_id_13,MSL,0.4645095062167262,0.9261976203882978,0.2379576992885333,0.8766552883821087,0.4582549623880086,0.9451697127937336,ok
12,TTM,MSL_id_14,MSL,0.1285122818008864,0.3673929534721347,0.1288236250383806,0.3635741335076883,0.2311807511164753,1.0,ok
24,TTM,MSL_id_14,MSL,0.121912290145317,0.3492655246647651,0.1228554464477914,0.3463596204459992,0.2329909653345896,1.0,ok
48,TTM,MSL_id_14,MSL,0.0958456068740563,0.3584103279990312,0.0943879569284991,0.3548577668178997,0.2434618955273775,0.8539007092198582,ok
96,TTM,MSL_id_14,MSL,0.0979729224067205,0.3680961164475451,0.095917290229154,0.3610442713432746,0.2311807511164753,0.7737789203084833,ok
192,TTM,MSL_id_14,MSL,0.1102958526105628,0.4509328655929244,0.1078114324173006,0.4441737664329027,0.2678038178801318,0.6991869918699187,ok
336,TTM,MSL_id_14,MSL,0.3340549590917322,0.8168001394819618,0.3234553710490584,0.809919316563835,0.530277818063587,0.912121212121212,ok
12,TTM,MSL_id_15,MSL,0.5354015518115905,0.9293389530805414,0.502647066033127,0.9223468350754936,0.7108954929483565,0.9491525423728814,ok
24,TTM,MSL_id_15,MSL,0.4973742634771021,0.9317841663733292,0.4626789416412015,0.9240254790940766,0.6528875896833843,0.9333333333333332,ok
48,TTM,MSL_id_15,MSL,0.589558386416746,0.9340474279208444,0.5977750662118956,0.9301774825783972,0.5786117891266069,0.9294605809128632,ok
96,TTM,MSL_id_15,MSL,0.7190582004950744,0.942265330733807,0.6775526634896932,0.9219521268873404,0.7606787698479252,0.9824561403508772,ok
