pred_len,dataset_key,status,phase,train_sec,infer_sec,score_sec,metric_sec,elapsed_sec,error
12,SMAP_id_11,ok,done,,,0.0,0.5,0.5,
12,SMAP_id_12,ok,done,,,0.0,0.3,0.3,
12,SMAP_id_13,ok,done,,,0.0,0.4,0.4,
12,SMAP_id_14,ok,done,,,0.0,0.6,0.7,
12,SMAP_id_15,ok,done,,,0.0,0.5,0.5,
12,SMAP_id_16,ok,done,,,0.0,0.5,0.5,
12,SMAP_id_17,ok,done,,,0.0,0.6,0.6,
12,SMAP_id_18,ok,done,,,0.0,0.5,0.6,
12,SMAP_id_19,ok,done,,,0.0,0.4,0.4,
12,SMAP_id_2,ok,done,,,0.0,0.6,0.6,
12,SMAP_id_20,ok,done,,,0.0,0.5,0.5,
12,SMAP_id_21,ok,done,,,0.0,0.5,0.5,
12,SMAP_id_22,ok,done,,,0.0,0.7,0.7,
12,SMAP_id_23,ok,done,,,0.0,0.3,0.3,
12,SMAP_id_24,ok,done,,,0.0,0.5,0.5,
12,SMAP_id_25,ok,done,,,0.0,0.6,0.6,
12,SMAP_id_26,ok,done,,,0.0,0.5,0.5,
12,SMAP_id_27,ok,done,,,0.0,0.6,0.6,
12,SMAP_id_3,ok,done,,,0.0,0.6,0.7,
12,SMAP_id_4,ok,done,,,0.0,0.5,0.5,
12,SMAP_id_5,ok,done,,,0.0,0.5,0.5,
12,SMAP_id_6,ok,done,,,0.0,0.7,0.7,
12,SMAP_id_7,ok,done,,,0.0,0.6,0.6,
12,SMAP_id_8,ok,done,,,0.0,0.5,0.5,
12,SMAP_id_9,ok,done,,,0.0,0.5,0.5,
12,SMD_id_1,ok,done,,,0.0,1.2,1.2,
12,SMD_id_10,ok,done,,,0.0,1.1,1.1,
12,SMD_id_11,ok,done,,,0.0,1.0,1.0,
12,SMD_id_12,ok,done,,,0.0,1.0,1.0,
12,SMD_id_13,ok,done,,,0.0,2.8,2.8,
12,SMD_id_14,ok,done,,,0.0,2.1,2.2,
12,SMD_id_15,ok,done,,,0.0,1.0,1.0,
12,SMD_id_16,ok,done,,,0.0,4.4,4.4,
12,SMD_id_17,ok,done,,,0.0,0.9,0.9,
12,SMD_id_18,ok,done,,,0.0,1.4,1.4,
12,SMD_id_19,ok,done,4.1,2.0,0.2,3.2,9.5,
12,SMD_id_2,ok,done,4.3,2.2,0.3,2.8,9.6,
12,SMD_id_20,ok,done,7.2,2.0,0.2,0.8,10.3,
12,SMD_id_21,ok,done,4.7,1.9,0.2,2.4,9.3,
12,SMD_id_22,ok,done,4.1,2.0,0.2,3.0,9.3,
12,SMD_id_3,ok,done,3.3,2.0,0.2,1.0,6.6,
12,SMD_id_4,ok,done,9.6,2.2,0.3,1.8,13.9,
12,SMD_id_5,ok,done,7.6,2.1,0.3,2.2,12.3,
12,SMD_id_6,ok,done,6.4,2.2,0.3,2.7,11.7,
12,SMD_id_7,ok,done,5.9,2.2,0.3,3.0,11.3,
