pred_len,dataset_key,family,vus_pr,vus_roc,auc_pr,auc_roc,standard_f1,pa_f1,normal_mse,normal_mae,n_eval_rows,status,error
192,GHL_id_18,GHL,0.02120491357898315,0.315584700148293,0.019845136031207074,0.2934507870790217,0.05874076261367761,0.5811054370681886,0.018998836623255033,0.03100326276995955,184235,ok,
192,GHL_id_19,GHL,0.004195770126081488,0.17921916988174222,0.003493341949683409,0.14088069469957354,0.012819948702444621,0.09840923948572673,0.02124936860282429,0.03354382138127263,161109,ok,
192,GHL_id_2,GHL,0.007598329978316851,0.4247840252030373,0.006857896259810947,0.39180987837720505,0.0215750659053119,0.07500507614213198,0.01997090972773172,0.0321418916658514,184235,ok,
192,GHL_id_20,GHL,0.0037736307154656195,0.24613511008916475,0.003468319757986082,0.21639633653994417,0.012557735208397888,0.041176165534408546,0.014682091441511879,0.026416699708611064,184235,ok,
192,GHL_id_21,GHL,0.0032043503743501307,0.23157775709042544,0.002968826535393695,0.20929540195799265,0.010274105926740816,0.009663085718835056,0.017394649346414073,0.028734123173378635,184235,ok,
192,GHL_id_22,GHL,0.026217708255522398,0.4062253229605972,0.024638293173373026,0.38660865388653315,0.0750401509784958,0.5100966449281056,0.01856293413408686,0.032437372942480454,184235,ok,
192,GHL_id_23,GHL,0.014437468631361463,0.3677760201130832,0.013329342945310706,0.347780805161112,0.04212163911609481,0.3696949602122016,0.015284295115296682,0.02509959622239509,184235,ok,
192,GHL_id_24,GHL,0.004239000265064026,0.4248193150076135,0.003831823188920555,0.3988605893823801,0.012518253050561765,0.11040595251121567,0.015704618155149203,0.024023001098098296,184235,ok,
192,GHL_id_25,GHL,0.011567914635422814,0.2586029742493393,0.00984356256797725,0.22816489730258596,0.03302523219220638,0.3473726434015243,0.015074004572268936,0.02536632314196261,184235,ok,
192,GHL_id_3,GHL,0.006207437791931497,0.24685015784708597,0.005586302111993945,0.21738804210018686,0.020234091505984503,0.12689016150826846,0.01663915048993148,0.026956646240412278,184235,ok,
192,GHL_id_4,GHL,0.009350453116883567,0.2922720038543901,0.008550534769704018,0.2619802516969771,0.02845830870493378,0.43224216825061595,0.01653327615750961,0.02784849906480823,184235,ok,
192,GHL_id_5,GHL,0.008029862188082106,0.3279393262892359,0.0073800598208157596,0.300293951445476,0.023375714175154803,0.1318624194992347,0.01779238483817278,0.029419354992779666,184235,ok,
192,GHL_id_6,GHL,0.0066448116244873364,0.28798345005140064,0.0059692905866513615,0.2602918733805816,0.020461562720801282,0.1903827281648675,0.019336970673051974,0.0309434693807219,184235,ok,
192,GHL_id_7,GHL,0.0071651905114441415,0.43357246049180465,0.006587214252071917,0.40989160787742385,0.01966941949831978,0.10469102251320218,0.0171916912994183,0.0267187882666892,184235,ok,
192,GHL_id_8,GHL,0.003788357598780338,0.23994441090778418,0.0034222860790650285,0.20986135177527998,0.012461001828502924,0.011612184840531297,0.020860798959493346,0.033145747876789304,184235,ok,
192,GHL_id_9,GHL,0.0084066086478823,0.33861403914164895,0.007844320320931464,0.3152113236254134,0.02543029435026635,0.1640905237070371,0.017143422672464603,0.029568530398734968,184235,ok,
192,Genesis,Genesis,0.05412138294341061,0.939957270767003,0.015599522663393161,0.7813976499690785,0.062429270632421055,0.13025780189959293,0.3018673980332758,0.2099879896562011,14237,ok,
192,LTDB_id_1,LTDB,0.5456705661441881,0.9037490408312103,0.372363197346778,0.8357462527693991,0.4943539362080795,0.8236336198412177,1.265304881357396,0.6182642456991293,98148,ok,
