dataset                                             , VUS-PR  , VUS-ROC , AUC-PR  , AUC-ROC , Standard-F1, PA-F1   , MSE                  , MAE
014_MSL_id_13_Sensor_tr_1525_1st_4575               , 0.462611, 0.932134, 0.241304, 0.879091,    0.506019, 0.928205,            142.241130,      0.430184
015_MSL_id_14_Sensor_tr_575_1st_1250                , 0.263539, 0.799536, 0.257959, 0.793230,    0.429574, 0.957075,              0.227808,      0.066449
016_MSL_id_15_Sensor_tr_500_1st_780                 , 0.282594, 0.811364, 0.244989, 0.827540,    0.509429, 0.630350,           1594.735052,      3.931894
017_MSL_id_16_Sensor_tr_512_1st_1850                , 0.493307, 0.837068, 0.439785, 0.760857,    0.427240, 1.000000,              0.212023,      0.070969
003_MSL_id_2_Sensor_tr_883_1st_1238                 , 0.155644, 0.715957, 0.123188, 0.680725,    0.267390, 0.653295,              0.136607,      0.033969
004_MSL_id_3_Sensor_tr_530_1st_630                  , 0.117722, 0.456076, 0.081757, 0.447596,    0.151154, 0.124039,              0.147458,      0.028687
027_MITDB_id_9_Medical_tr_25000_1st_52255           , 0.075144, 0.816458, 0.136806, 0.765561,    0.244064, 0.993119,              0.037429,      0.140815
006_MSL_id_5_Sensor_tr_1150_1st_1250                , 0.149831, 0.497900, 0.136855, 0.485683,    0.237032, 0.943144,              0.231812,      0.040071
005_MSL_id_4_Sensor_tr_855_1st_2700                 , 0.098664, 0.896116, 0.071814, 0.847117,    0.151972, 0.735751,              0.113510,      0.030950
024_MITDB_id_6_Medical_tr_50000_1st_58118           , 0.212928, 0.918797, 0.595354, 0.890086,    0.672350, 1.000000,              0.044376,      0.144444
008_MSL_id_7_Sensor_tr_656_1st_1630                 , 0.446752, 0.907855, 0.265553, 0.876228,    0.469794, 0.917808,              0.396014,      0.066964
007_MSL_id_6_Sensor_tr_980_1st_3550                 , 0.665357, 0.915143, 0.340371, 0.748887,    0.425528, 1.000000,              0.117598,      0.036146
009_MSL_id_8_Sensor_tr_714_1st_1390                 , 0.180081, 0.912833, 0.018524, 0.580247,    0.074417, 0.262500,              0.192448,      0.028419
010_MSL_id_9_Sensor_tr_554_1st_1172                 , 0.162700, 0.908029, 0.120448, 0.875644,    0.216946, 0.958333,              0.182683,      0.056511
130_OPPORTUNITY_id_2_HumanActivity_tr_1045_1st_1145 , 0.083979, 0.416227, 0.080157, 0.408149,    0.191322, 0.166607,       14388865.079719,     97.849292
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995   , 0.053482, 0.473863, 0.046006, 0.431726,    0.125544, 0.502294,       14014866.978946,    109.488151
131_OPPORTUNITY_id_3_HumanActivity_tr_7016_1st_26691, 0.008605, 0.328376, 0.008177, 0.320521,    0.025073, 0.023244,              3.665254,      0.429523
079_LTDB_id_1_Medical_tr_3618_1st_3718              , 0.638027, 0.935788, 0.460539, 0.873913,    0.559112, 0.836212,              1.132515,      0.538692
129_OPPORTUNITY_id_1_HumanActivity_tr_1801_1st_1901 , 0.019509, 0.229402, 0.018318, 0.237086,    0.057463, 0.273960,        9894336.876995,     76.849879
025_MITDB_id_7_Medical_tr_37500_1st_88864           , 0.755106, 0.961661, 0.696613, 0.917834,    0.719386, 0.998649,              0.033502,      0.117956
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577 , 0.016769, 0.220450, 0.015234, 0.185038,    0.044017, 0.042089,       18331221.940993,    101.056692
133_OPPORTUNITY_id_5_HumanActivity_tr_1745_1st_6500 , 0.771674, 0.977971, 0.730438, 0.972933,    0.648931, 1.000000,             15.607580,      0.482902
144_SMAP_id_1_Sensor_tr_2052_1st_5300               , 0.842295, 0.978434, 0.832972, 0.975819,    0.888136, 1.000000,              0.542519,      0.126020
135_OPPORTUNITY_id_7_HumanActivity_tr_2085_1st_2185 , 0.033090, 0.355286, 0.027592, 0.303839,    0.072944, 0.632061,       11901541.376684,     94.352863
153_SMAP_id_10_Sensor_tr_1840_1st_4030              , 0.011594, 0.663746, 0.006330, 0.497133,    0.020565, 0.271523,              0.588798,      0.176897
155_SMAP_id_12_Sensor_tr_1907_1st_4800              , 0.139942, 0.812747, 0.128627, 0.802767,    0.277223, 0.927273,              3.021578,      0.216830
154_SMAP_id_11_Sensor_tr_2117_1st_4770              , 0.257894, 0.945397, 0.146495, 0.909264,    0.279859, 0.952756,              0.612090,      0.177215
156_SMAP_id_13_Sensor_tr_1173_1st_2750              , 0.162955, 0.950916, 0.075557, 0.849410,    0.238225, 0.361702,          21765.898946,      5.532394
136_OPPORTUNITY_id_8_HumanActivity_tr_1495_1st_1595 , 0.016964, 0.274417, 0.015395, 0.272910,    0.045957, 0.093228,        7305622.425778,     61.208435
157_SMAP_id_14_Sensor_tr_2126_1st_5000              , 0.145252, 0.722285, 0.173193, 0.804283,    0.322682, 0.858954,              0.304781,      0.102896
159_SMAP_id_16_Sensor_tr_1757_1st_2650              , 0.100107, 0.712994, 0.087720, 0.691682,    0.250420, 0.472247,              0.038862,      0.011357
160_SMAP_id_17_Sensor_tr_1832_1st_5300              , 0.732539, 0.958943, 0.706240, 0.941470,    0.664371, 1.000000,              0.304868,      0.128098
158_SMAP_id_15_Sensor_tr_2075_1st_5610              , 0.349833, 0.986684, 0.366339, 0.963545,    0.393157, 1.000000,              6.503512,      0.162033
161_SMAP_id_18_Sensor_tr_2075_1st_5550              , 0.504167, 0.955312, 0.467894, 0.944852,    0.545221, 0.987342,              0.315993,      0.108183
162_SMAP_id_19_Sensor_tr_1908_1st_4690              , 0.284390, 0.841744, 0.257776, 0.612509,    0.341460, 1.000000,              0.059711,      0.018234
145_SMAP_id_2_Sensor_tr_2133_1st_5400               , 0.518683, 0.916290, 0.451629, 0.899887,    0.571424, 0.974961,              0.280919,      0.105374
163_SMAP_id_20_Sensor_tr_2051_1st_4575              , 0.406717, 0.939373, 0.265258, 0.913296,    0.313494, 0.992000,              0.671386,      0.180934
164_SMAP_id_21_Sensor_tr_1976_1st_4200              , 0.012770, 0.627609, 0.006240, 0.471394,    0.017556, 0.190654,              0.533605,      0.165351
080_LTDB_id_2_Medical_tr_500_1st_266                , 0.183445, 0.502475, 0.137918, 0.455456,    0.258702, 0.367819,              2.200471,      1.172602
166_SMAP_id_23_Sensor_tr_1113_1st_1890              , 0.059718, 0.786631, 0.051973, 0.772864,    0.184872, 0.565517,           2013.934192,      1.903228
165_SMAP_id_22_Sensor_tr_2129_1st_5000              , 0.110539, 0.571755, 0.114849, 0.658614,    0.189432, 0.958794,              0.284626,      0.105932
167_SMAP_id_24_Sensor_tr_2094_1st_5600              , 0.139381, 0.970584, 0.046861, 0.928082,    0.154339, 0.261146,              0.267065,      0.095475
169_SMAP_id_26_Sensor_tr_1811_1st_4510              , 0.018530, 0.453075, 0.011182, 0.450300,    0.022116, 0.000000,              0.000002,      0.000142
168_SMAP_id_25_Sensor_tr_1998_1st_2098              , 0.077876, 0.739079, 0.047287, 0.653973,    0.158245, 0.402390,              0.013458,      0.008332
082_LTDB_id_4_Medical_tr_4456_1st_4556              , 0.469763, 0.861386, 0.347878, 0.770029,    0.463974, 0.804444,              0.220571,      0.260441
170_SMAP_id_27_Sensor_tr_2160_1st_4690              , 0.014851, 0.646973, 0.010116, 0.552690,    0.026156, 0.221643,              0.721121,      0.171555
148_SMAP_id_5_Sensor_tr_2011_1st_5060               , 0.015444, 0.453012, 0.008826, 0.450270,    0.017498, 0.000000,              0.000975,      0.001426
150_SMAP_id_7_Sensor_tr_2077_1st_5394               , 0.565002, 0.965652, 0.514106, 0.946492,    0.629965, 1.000000,              0.291268,      0.111341
149_SMAP_id_6_Sensor_tr_2128_1st_5000               , 0.064450, 0.408146, 0.056581, 0.400004,    0.128201, 0.913305,              0.312339,      0.106801
147_SMAP_id_4_Sensor_tr_2160_1st_6449               , 0.010434, 0.302956, 0.008396, 0.209900,    0.027622, 0.533040,              0.576974,      0.180476
146_SMAP_id_3_Sensor_tr_2128_1st_5000               , 0.113428, 0.733506, 0.127641, 0.752667,    0.216034, 0.868327,              0.299199,      0.103014
151_SMAP_id_8_Sensor_tr_1971_1st_4870               , 0.150045, 0.741198, 0.075537, 0.565606,    0.184870, 0.975904,              3.278126,      0.224234
152_SMAP_id_9_Sensor_tr_2073_1st_5600               , 0.383905, 0.901280, 0.391059, 0.884430,    0.485559, 0.995349,              0.287509,      0.108354
066_SMD_id_10_Facility_tr_2634_1st_2734             , 0.358601, 0.798454, 0.675117, 0.814048,    0.757265, 0.891662,              1.316585,      0.387307
057_SMD_id_1_Facility_tr_4529_1st_4629              , 0.146883, 0.838080, 0.156428, 0.832836,    0.307350, 0.489968,              0.719029,      0.285723
068_SMD_id_12_Facility_tr_1099_1st_1199             , 0.141796, 0.683755, 0.207348, 0.828634,    0.350957, 0.484412,             59.887802,      0.437720
067_SMD_id_11_Facility_tr_1980_1st_2080             , 0.040259, 0.426840, 0.037906, 0.409237,    0.094008, 0.091066,              3.023406,      0.372385
071_SMD_id_15_Facility_tr_1109_1st_1209             , 0.194701, 0.687996, 0.291081, 0.878371,    0.429458, 0.573394,             41.973739,      0.462122
073_SMD_id_17_Facility_tr_5926_1st_10620            , 0.036399, 0.847640, 0.034735, 0.848821,    0.107618, 0.276596,             23.189363,      0.528507
070_SMD_id_14_Facility_tr_1070_1st_1170             , 0.169398, 0.815238, 0.157374, 0.800934,    0.229277, 0.399348,             11.028716,      0.412489
074_SMD_id_18_Facility_tr_7174_1st_21230            , 0.439369, 0.947091, 0.205756, 0.810870,    0.281963, 0.676923,              2.192520,      0.216047
069_SMD_id_13_Facility_tr_5925_1st_12760            , 0.292567, 0.838074, 0.229045, 0.796390,    0.453393, 0.771651,              5.972169,      0.370906
076_SMD_id_20_Facility_tr_5925_1st_17580            , 0.412555, 0.980876, 0.369039, 0.978221,    0.547097, 0.901961,             62.036959,      0.321271
059_SMD_id_3_Facility_tr_757_1st_857                , 0.038202, 0.684763, 0.029557, 0.713785,    0.119943, 0.029155,          15568.948194,      2.752360
026_MITDB_id_8_Medical_tr_30495_1st_30595           , 0.316262, 0.741582, 0.327012, 0.738095,    0.337664, 0.983166,              0.065750,      0.148768
077_SMD_id_21_Facility_tr_3026_1st_3126             , 0.274800, 0.910051, 0.146604, 0.881882,    0.293895, 0.112883,             15.059014,      0.323326
075_SMD_id_19_Facility_tr_564_1st_664               , 0.105361, 0.749570, 0.055904, 0.816593,    0.123934, 0.034589,            532.533591,      0.859013
058_SMD_id_2_Facility_tr_1087_1st_1187              , 0.414843, 0.867370, 0.349981, 0.914947,    0.434277, 0.720588,              1.919592,      0.302925
072_SMD_id_16_Facility_tr_7119_1st_15849            , 0.673853, 0.951245, 0.656292, 0.966987,    0.750625, 0.341133,            598.505656,      0.602964
029_MITDB_id_11_Medical_tr_50000_1st_518037         , 0.237584, 0.901356, 0.354464, 0.879355,    0.481795, 0.998573,              0.025086,      0.086078
060_SMD_id_4_Facility_tr_7176_1st_10609             , 0.677692, 0.985540, 0.668667, 0.938848,    0.674622, 0.903382,             17.351261,      0.227142
078_SMD_id_22_Facility_tr_500_1st_326               , 0.090533, 0.588242, 0.057201, 0.642111,    0.176307, 0.084908,          10435.452512,      3.637023
022_MITDB_id_4_Medical_tr_50000_1st_54253           , 0.064036, 0.603243, 0.060686, 0.567626,    0.101255, 0.697875,              0.114987,      0.209893
061_SMD_id_5_Facility_tr_7176_1st_15144             , 0.112434, 0.774031, 0.090886, 0.774249,    0.216826, 0.325107,              4.281558,      0.323448
062_SMD_id_6_Facility_tr_7180_1st_15131             , 0.680018, 0.968380, 0.618369, 0.969109,    0.719585, 0.875370,            485.589804,      0.548231
065_SMD_id_9_Facility_tr_737_1st_837                , 0.163351, 0.604222, 0.136729, 0.626518,    0.308507, 0.183945,            110.562476,      0.845845
063_SMD_id_7_Facility_tr_5923_1st_6506              , 0.479488, 0.892108, 0.583235, 0.869915,    0.590142, 0.835821,              0.449955,      0.325036
064_SMD_id_8_Facility_tr_2272_1st_2372              , 0.304772, 0.892561, 0.207939, 0.850019,    0.358192, 0.204426,             14.522540,      0.296328
094_SVDB_id_11_Medical_tr_20100_1st_23611           , 0.641480, 0.987716, 0.413831, 0.953379,    0.575390, 0.812554,              0.115405,      0.219559
115_PSM_id_1_Facility_tr_50000_1st_129872           , 0.113794, 0.481837, 0.095904, 0.453254,    0.202075, 0.549484,              0.148934,      0.199163
100_SVDB_id_17_Medical_tr_17803_1st_17903           , 0.398668, 0.915964, 0.272067, 0.847357,    0.380556, 0.882642,              0.051953,      0.137453
081_LTDB_id_3_Medical_tr_500_1st_26                 , 0.517409, 0.704144, 0.402259, 0.620736,    0.505024, 0.808890,              0.688013,      0.508102
020_MITDB_id_2_Medical_tr_50000_1st_52315           , 0.052243, 0.863878, 0.190055, 0.844921,    0.328803, 0.682190,              0.015444,      0.087295
084_SVDB_id_1_Medical_tr_12973_1st_13073            , 0.107194, 0.740783, 0.076315, 0.654833,    0.179685, 0.777535,              0.235893,      0.311597
096_SVDB_id_13_Medical_tr_500_1st_444               , 0.108902, 0.760801, 0.110825, 0.667400,    0.143347, 0.569194,              0.623562,      0.437265
102_SVDB_id_19_Medical_tr_50000_1st_107354          , 0.244626, 0.899089, 0.258522, 0.895523,    0.399596, 0.983523,              0.116112,      0.212183
