dataset_id,family,n_channels,n_train_above_floor,vus_pr_raw_max,vus_roc_raw_max,auc_pr_raw_max,auc_roc_raw_max,standard_f1_raw_max,pa_f1_raw_max,vus_pr_raw_mean,vus_roc_raw_mean,auc_pr_raw_mean,auc_roc_raw_mean,standard_f1_raw_mean,pa_f1_raw_mean,vus_pr_raw_median,vus_roc_raw_median,auc_pr_raw_median,auc_roc_raw_median,standard_f1_raw_median,pa_f1_raw_median,vus_pr_z_train_max_nodrop,vus_roc_z_train_max_nodrop,auc_pr_z_train_max_nodrop,auc_roc_z_train_max_nodrop,standard_f1_z_train_max_nodrop,pa_f1_z_train_max_nodrop,vus_pr_z_train_mean_nodrop,vus_roc_z_train_mean_nodrop,auc_pr_z_train_mean_nodrop,auc_roc_z_train_mean_nodrop,standard_f1_z_train_mean_nodrop,pa_f1_z_train_mean_nodrop,vus_pr_z_train_median_nodrop,vus_roc_z_train_median_nodrop,auc_pr_z_train_median_nodrop,auc_roc_z_train_median_nodrop,standard_f1_z_train_median_nodrop,pa_f1_z_train_median_nodrop
OPPORTUNITY_id_1,OPPORTUNITY,248,229,0.020254439992087248,0.15565945508071147,0.019291510434158637,0.19285886006078962,0.06125163629955313,0.08485375036200406,0.020607779116211675,0.16849386057328214,0.019570913880165703,0.20482060664394533,0.061075223231349195,0.08485375036200406,0.030462339469887308,0.40802305656632976,0.029900998766970464,0.4202251932729908,0.06106746370373137,0.5554502369668246,0.019980355747420138,0.12859392572977266,0.0189647999689785,0.18290771184584628,0.06119704712347731,0.08485375036200406,0.020128811171382384,0.1338486847397186,0.019036130898649303,0.1860631126452437,0.06106746370373137,0.08485375036200406,0.029202610255366582,0.41740613363612805,0.027955885482951293,0.4251764325091111,0.06448699674243918,0.401920438957476
OPPORTUNITY_id_6,OPPORTUNITY,248,229,0.018114021112146265,0.06408930352445895,0.01597862491344302,0.05336841590303246,0.046413876239694854,0.04612785862785863,0.018101202595967817,0.062157455974689434,0.01600346003333035,0.05423153920457979,0.047241537545863355,0.04612785862785863,0.025468992003710937,0.36610138737194575,0.022355005573679032,0.334801672529216,0.05324406978498451,0.08255813953488372,0.019414243326286586,0.07299040200218217,0.016250072228986195,0.06893206956785322,0.047733835519996014,0.04612785862785863,0.01845617024191849,0.06685550955715469,0.01611333369085568,0.06123667017428415,0.04732971589159459,0.04612785862785863,0.025352188932278998,0.3586492596729355,0.02237450718671518,0.33573213441241334,0.053956011115992276,0.08348030570252793
SMAP_id_1,SMAP,25,25,0.8370331537129048,0.9755938485812621,0.834867835705259,0.9745546605032526,0.8907513193591394,1.0,0.8409644641464508,0.9760145038019181,0.8383045175196038,0.9747608476772768,0.8926124674314451,1.0,0.4221227628397191,0.525386928536604,0.4212187314454833,0.5195938041817026,0.4210015663814184,1.0,0.8626154602654114,0.9749058939444765,0.8590318679793293,0.9729816861859554,0.8907513193591394,1.0,0.871288020156693,0.9756375536887667,0.8672166055027807,0.9731210928061933,0.8915814567988767,1.0,0.4178661108745378,0.5101142383735638,0.4159554819153609,0.504519644111018,0.3956267175827725,1.0
OPPORTUNITY_id_7,OPPORTUNITY,248,229,0.026890180092286768,0.1531989065612789,0.023769159295057272,0.12865911086601564,0.0803962994642858,0.1495304599084999,0.027088303146188188,0.15901550174499962,0.023959535922229065,0.13693530931377412,0.08037260120878909,0.1495304599084999,0.057779206872051424,0.340457341371085,0.0967075554437291,0.3244577316708162,0.11546127466991028,0.8630993745656707,0.028696504863894447,0.1919568626071318,0.024952835547370204,0.17016590886305794,0.08103344905694106,0.1495304599084999,0.028510302997925237,0.18994078626629787,0.024907484598093242,0.16857340951289182,0.08090121164716112,0.1495304599084999,0.03548722326363228,0.34861996721116756,0.031387871521884304,0.32393188310610066,0.08006970904107619,0.6571428571428571
OPPORTUNITY_id_8,OPPORTUNITY,248,248,0.019067980015509228,0.23967270922595243,0.016824591661298495,0.27552761076904503,0.04857528479841031,0.1050390347764372,0.016896799228651276,0.1986722581969856,0.016115216361554864,0.24255952352207336,0.04816537458213546,0.1050390347764372,0.019423919054849678,0.23437636273645784,0.017369982351494746,0.2711585013481428,0.04809865325298504,0.2819047619047619,0.01784901769782019,0.1846323096569605,0.01600087777441722,0.23566450158960123,0.048850547343984155,0.1050390347764372,0.017527215279342312,0.1577148759804731,0.015566364620171963,0.2125751539297356,0.048694499589504385,0.1050390347764372,0.01636163702097683,0.16824377490882558,0.01572465168236332,0.21603972795685944,0.047906936974565405,0.16113228089275994
MITDB_id_4,MITDB,2,2,0.09953630891447482,0.5714313045679721,0.11180876194157978,0.5297037618438541,0.14080995090184192,0.6905883439549275,0.09930601284527717,0.5644387210390662,0.11205019859833434,0.5226623183255512,0.13893123089901413,0.7492329799215504,0.09930601284527717,0.5644387210390662,0.11205019859833434,0.5226623183255512,0.13893123089901413,0.7492329799215504,0.09872958675696401,0.5705473109619189,0.1102675041459244,0.5285413441247186,0.1361880022826361,0.7413281281769754,0.09857419293617764,0.5638488155977114,0.11093134897852823,0.5220011991491048,0.1365516764387446,0.7630123066501072,0.09857419293617764,0.5638488155977114,0.11093134897852823,0.5220011991491048,0.1365516764387446,0.7630123066501072
SMAP_id_12,SMAP,25,25,0.14497384087919787,0.8379799134586603,0.13882355539655272,0.8283812290348238,0.28282328750788016,0.9532710280373832,0.14382966297572983,0.7837197183086839,0.13772568873486,0.7728706297333748,0.28282328750788016,0.9532710280373832,0.006198191716106516,0.32147972194524266,0.006076348184259293,0.3171594563751427,0.017732786692251506,0.01767457979552937,0.13295391935662085,0.7553153067359711,0.13064078613373217,0.7436490645640972,0.28282328750788016,0.9532710280373832,0.13326711217106796,0.7607215827104413,0.13093574560643456,0.7492305564200988,0.28282328750788016,0.9532710280373832,0.012339920434843473,0.5648544541444789,0.012082223259360265,0.5568592869246465,0.03199921731194424,0.49038461538461536
SMAP_id_10,SMAP,25,25,0.018284240283976266,0.7695139864218292,0.014280722001122036,0.7102456827487983,0.03965800362127753,0.5256410256410257,0.014857180258067641,0.729565537306852,0.00986308995715609,0.6492967776393093,0.02482469468764732,0.2586750788643533,0.032359503783308756,0.8760092889414587,0.02143219145527664,0.8424959943030087,0.056473280414609736,0.2404692082111437,0.18347065684540048,0.9651926334011326,0.11011202162029274,0.8845157557414991,0.18589515309345048,1.0,0.1831613103951668,0.9658148394370861,0.10913734814259468,0.8847828022075841,0.18649288781875137,1.0,0.017326313982798356,0.7406360781747431,0.009690537454138153,0.6403329179277195,0.02620057941900089,0.13969335604770017
SMAP_id_11,SMAP,25,25,0.07697818393767043,0.8633355703380584,0.06063210416758695,0.831187968448878,0.12886981770849093,0.9565217391304348,0.12840427190266157,0.9037335371342351,0.09308025133860491,0.8700074673287786,0.20224323158868854,0.9201520912547528,0.05750148194534435,0.8457730240888209,0.04790657909190106,0.8263375206081032,0.1199773630759054,0.6302083333333334,0.07662243613354808,0.8673830147817815,0.05758769922214084,0.8172175645366874,0.13333126855166086,0.03739184177997528,0.036540441020399654,0.7322580982457848,0.02921088089063348,0.6742905042900665,0.06483943192952456,0.03739184177997528,0.042804313561076945,0.7331569789342033,0.03414301953167249,0.6490488108643664,0.07325845755955082,0.9132075471698113
SMAP_id_15,SMAP,25,25,0.31435277878504186,0.981464029925262,0.3118404980681479,0.9605061821330696,0.3393907394241106,1.0,0.31476283956256423,0.9820750662999356,0.31419504089391725,0.9675247359124612,0.3393907394241106,1.0,0.42041759341549656,0.9833646182672827,0.3382575093697297,0.9435588225164455,0.3971581410010184,1.0,0.31679882729802794,0.982200351885803,0.3168717088422224,0.9625258921410894,0.35927826601099333,1.0,0.3413478245726965,0.9834921755984705,0.329610148659959,0.9655025658435303,0.3620146543785045,1.0,0.2735214509941372,0.9761965979234238,0.23118627764381505,0.9589784843072715,0.2879339260752213,1.0
SMAP_id_13,SMAP,25,25,0.15153691560345453,0.9402719461623568,0.0761974313029994,0.8562845143822879,0.24571179610685792,0.35172413793103446,0.15153691560345453,0.9402719461623568,0.0761974313029994,0.8562845143822879,0.24571179610685792,0.35172413793103446,0.0291062822389852,0.6963540903493404,0.014933682476128321,0.5418016154285294,0.034888032906714155,0.3591549295774648,0.15151219289610177,0.9398062008872765,0.0760355931503488,0.851536578886383,0.24571179610685792,0.35172413793103446,0.15222083827297556,0.9439735499174193,0.07783186312455777,0.870816588382254,0.24571179610685792,0.35172413793103446,0.0291062822389852,0.6963540903493404,0.014933682476128321,0.5418016154285294,0.034888032906714155,0.3591549295774648
SMAP_id_14,SMAP,25,25,0.13586630765381383,0.7995417275186181,0.12410775143474788,0.7795779637952904,0.254140474549892,0.9093959731543624,0.12512804850526438,0.8079349739518282,0.11421530610762515,0.7928442733985728,0.24160778514587491,0.8856209150326797,0.19816746894135745,0.8468270941425868,0.13320813679012436,0.8330877368928923,0.35718902092071314,0.37586685159500693,0.601422061402944,0.9217771939855383,0.8295363146551761,0.9257314313196476,0.8805411240945129,0.9139966273187183,0.6497148759111433,0.9459124688581285,0.8384652772042605,0.9495850496884155,0.8862019574591561,0.9139966273187183,0.17617505866730454,0.8395051477202967,0.17235576194814775,0.8254393817737702,0.25854019367982695,0.9139966273187183
SMAP_id_16,SMAP,25,25,0.07621709753551455,0.6233256166408747,0.06723911066401057,0.6017346570504791,0.1800763224575319,0.4492753623188406,0.0762149308562653,0.6233102123717048,0.06723880086972712,0.601732420034122,0.1800763224575319,0.4492753623188406,0.04062728236597327,0.4152555285820788,0.03838332175939052,0.40262976186215216,0.10877687919248434,0.22389306599832914,0.07379648963533633,0.6069142804973471,0.06484794604839333,0.5849421209301215,0.1800763224575319,0.4492753623188406,0.04188216047272668,0.44144229377071037,0.039437232753789686,0.42344519906462896,0.10887687750746382,0.3343730505302558,0.04062728236597327,0.4152555285820788,0.03838332175939052,0.40262976186215216,0.10877687919248434,0.22389306599832914
SMAP_id_18,SMAP,25,25,0.425810012835427,0.8427247141059572,0.4191813840336803,0.8236027958628367,0.5517191914831108,0.9887323943661972,0.5357037464125924,0.914514130339766,0.5298435288884494,0.9078088666243873,0.6166389380421053,0.9971590909090909,0.4548822185330084,0.9493468850645196,0.45044614054109605,0.9323977588102843,0.5078170218595854,0.9985775248933144,0.8466612401745971,0.8981299511378946,0.8332978065356343,0.8791176236717422,0.8902771820029315,1.0,0.8488288292065479,0.9250590578062922,0.8358045622300189,0.9127446816350833,0.8944832446674192,1.0,0.6072494471739186,0.9078215456192433,0.6162597867322607,0.9018441911566486,0.6075531416463734,1.0
SMAP_id_17,SMAP,25,25,0.23825597553050054,0.8430943732581934,0.2080557175361014,0.8182409954181633,0.3632395728873428,0.9900552486187846,0.16432996658015459,0.6487104039335444,0.14120502405574814,0.6211327495262607,0.212953972716746,1.0,0.5111818944280904,0.7195671383129839,0.4323386670604485,0.677890428345165,0.5205432037962369,1.0,0.18333153176260808,0.7999107370016009,0.17007977984920752,0.7796873674237069,0.36657951534573346,0.1506895391860074,0.11065936847456542,0.6324008164212859,0.10060350398219352,0.6092870577254857,0.2037226915185631,0.6124401913875598,0.10865906117389229,0.5867742381596235,0.09645893734914802,0.5522690874508585,0.20141989627152754,0.9835345773874863
SMAP_id_19,SMAP,25,25,0.08259135000992268,0.9294385793380873,0.04358864307319679,0.8283574055291444,0.13698141507390613,0.8985507246376812,0.08259135000992268,0.9294385793380873,0.04358809619508864,0.8283460729928661,0.13698141507390613,0.8985507246376812,0.006366496633667176,0.47063599430225533,0.0035483982875361385,0.27880305751828793,0.011489878348411158,0.024989923417976623,0.08055505980811625,0.8927000451770417,0.04032837650441636,0.7167092581155124,0.13698141507390613,0.8985507246376812,0.07848384742143134,0.8231602679260098,0.03771071018663517,0.5413042616002675,0.13698141507390613,0.8985507246376812,0.006366496633667176,0.47063599430225533,0.0035483982875361385,0.27880305751828793,0.011489878348411158,0.024989923417976623
SMAP_id_2,SMAP,25,25,0.6325276696783461,0.923573406415701,0.5562887560270042,0.9067850917951294,0.5908239729768021,1.0,0.6109466562232363,0.9322793293621068,0.5409938853842534,0.9178690368736745,0.5401061999439473,0.9968,0.2996779806440569,0.8017198890358153,0.27922038452981074,0.7776974962539406,0.5514078676300654,0.9968,0.7970393125233233,0.9402806827390754,0.770631795101905,0.9299181202562883,0.7236674410962713,1.0,0.6721064568501995,0.9117022793134844,0.660250211019572,0.8965267804342317,0.6339825664455835,1.0,0.2764716708110423,0.7510100043836871,0.27774316317768677,0.7311254740932757,0.3292573885107013,1.0
LTDB_id_4,LTDB,2,2,0.5485706596396398,0.8767562146664856,0.4006636830278804,0.7841920415150129,0.48649239901798214,0.9336195097673261,0.5606571431288256,0.8828254861365425,0.4172114884889272,0.7921150504881298,0.4931404804651021,0.9284211828755259,0.5606571431288256,0.8828254861365425,0.4172114884889272,0.7921150504881298,0.4931404804651021,0.9284211828755259,0.5392532559401054,0.877665191183124,0.3969094664574818,0.7870678850969257,0.48417016863598367,0.924697241023462,0.5545163169285956,0.8833011544350767,0.4148376242522652,0.7937388155946643,0.49136829199689547,0.9203844917754989,0.5545163169285956,0.8833011544350767,0.4148376242522652,0.7937388155946643,0.49136829199689547,0.9203844917754989
