dataset_id,n_train_baseline_rows,n_channels_used,sliding_window,VUS_PR_max,VUS_PR_median,VUS_PR_mean,VUS_ROC_max,VUS_ROC_median,VUS_ROC_mean,AUC_PR_max,AUC_PR_median,AUC_PR_mean,AUC_ROC_max,AUC_ROC_median,AUC_ROC_mean,Standard_F1_max,Standard_F1_median,Standard_F1_mean,PA_F1_max,PA_F1_median,PA_F1_mean,err_max,err_median,err_mean,status,error
Exathlon_id_16,7877,12,10,0.5560431892036956,0.7268075704607946,0.5757622446519581,0.9749574348478366,0.9898109910180889,0.9773157092145084,0.5612805834589409,0.7101595604179014,0.5821675815356891,0.9749306618369226,0.9896525087079966,0.977276483629935,0.7621675080033733,0.8750514469569892,0.7837602323759749,0.9512746047111972,0.9912575655682583,0.9554367201426025,,,,ok,
CATSv2_id_6,34713,17,189,0.4055523945518492,0.020070886387775166,0.3143446359099685,0.8100238526711077,0.45635208319504966,0.7481109941436177,0.40592134617140246,0.018199105192297584,0.3222431121899594,0.7602826250000001,0.41277187499999995,0.69791175,0.4778686546443932,0.03925686791435542,0.40068120681141134,0.688622754491018,0.6429928393979248,0.7220216606498195,,,,ok,
Exathlon_id_18,7878,18,27,0.7022822318355825,0.8742712026161717,0.7306477053698078,0.9830622599241833,0.9946773818189278,0.9851155606528896,0.6977722609095055,0.8665905015905775,0.7248828849606836,0.9825405918763017,0.9942514444037928,0.984626594535819,0.7899732907345962,0.9184594922838957,0.8156139851203887,1.0,1.0,1.0,,,,ok,
Exathlon_id_2,7191,8,10,0.48941233437309234,0.2515650938393354,0.4041632250951611,0.8619410216651193,0.3539208599957655,0.7073590523474382,0.4793372533744402,0.24079084482232835,0.3940751815766328,0.8608650898020493,0.3515552225252184,0.7056092946755463,0.6100624400231219,0.3959811315720961,0.5298536075553155,0.9868403908794788,0.9858128335285695,0.9863263445761167,,,,ok,
Exathlon_id_19,7878,18,27,0.7256895859456245,0.9030979520114759,0.7528763014381227,0.9847343237811146,0.9957579012367673,0.987009412724932,0.72086506379753,0.895537318531955,0.7470526936866393,0.9842740060672581,0.9953359108809295,0.9865414729257539,0.7901668822593169,0.920357446441372,0.8275417561608283,1.0,1.0,1.0,,,,ok,
Exathlon_id_20,5941,7,10,0.42781223218690134,0.2093116897484918,0.314690760181536,0.8654984141449887,0.3581936746618,0.6574655292125697,0.4180864215675727,0.1976967896904296,0.30552282607471015,0.8643012231583529,0.355565288372276,0.6553708381983142,0.5746642000766216,0.4063326768337594,0.46592723641558503,0.9885670731707317,0.9624041553302003,0.9608593653537474,,,,ok,
Exathlon_id_22,7249,31,125,0.7142272217304386,0.9223683434878609,0.7477874362728172,0.975314116149651,0.9942814434596061,0.9770124386844293,0.6929031769357681,0.8985549706611587,0.7243589233844229,0.9736243524837248,0.9928223711364792,0.9753276220452126,0.8579107632865702,0.9571416657982068,0.8615828926774405,0.9941488389102212,1.0,0.998714180749449,,,,ok,
Exathlon_id_21,4602,12,125,0.785297622181729,0.7681469512080368,0.7860740005906036,0.9796713140670082,0.9818384692347736,0.9810687156701798,0.733551807041309,0.7240727513565471,0.7349135275995189,0.9731962204598952,0.976486654079329,0.9754277312900629,0.8732930666810277,0.857299465629191,0.8738774715785688,0.9646404449741756,0.9831949787406358,0.9645446419704042,,,,ok,
Exathlon_id_23,7878,18,27,0.706232542588823,0.8769422998973494,0.7351581727237152,0.9835954844889007,0.994829738505965,0.985734400617319,0.7023585778283434,0.8697666853761025,0.7301742565008407,0.9831106390563686,0.9944070822081242,0.985243343209684,0.7905725473399426,0.9198867252191721,0.8210239106089456,1.0,1.0,1.0,,,,ok,
Exathlon_id_15,8489,19,125,0.40460397274587845,0.888999029066373,0.40463962742752646,0.6642669043870378,0.9863862847663429,0.6643150132889878,0.5133166336272503,0.8636947951487084,0.5133168264238442,0.7642717946401264,0.9769561998153607,0.7641538269820638,0.5881183972381538,0.8746164386956894,0.5881183972381538,0.7918781725888325,0.9991624530818625,0.7918781725888325,,,,ok,
Exathlon_id_17,8489,19,125,0.3957752848142605,0.8857898996197333,0.39585312425355107,0.6630852303823636,0.9866264106796573,0.663243609863001,0.4993436093577685,0.8538675695103037,0.499380854339926,0.7622800134599308,0.9777411338597124,0.7623919224141549,0.5767757034478184,0.8801322136425848,0.5767757034478184,0.7893738140417458,0.9988526064440103,0.7893738140417458,,,,ok,
Exathlon_id_24,7249,31,125,0.7372333300553524,0.91111754167589,0.7460612316597688,0.9807575212845118,0.9936575461893574,0.9807304160819345,0.7113549420837728,0.8864577517528704,0.7180958333743377,0.9790694922103608,0.9921694177375913,0.9790559088714468,0.9065402889224844,0.9552267960350744,0.9108404567665739,0.988275924747796,1.0,0.9976146788990826,,,,ok,
Exathlon_id_27,7249,31,125,0.7459056009195584,0.9195702591430313,0.7598222340867279,0.9812929435439296,0.9941581257267841,0.9817660516752793,0.7195685730776886,0.8950093090200802,0.7316315614736809,0.9795807859012939,0.9926947395619117,0.9800765020099602,0.8921964840336957,0.9575081429400358,0.9105280754069306,0.9918817841831615,1.0,0.9979809104258444,,,,ok,
Exathlon_id_4,7878,18,27,0.6912807384177286,0.8735822904013298,0.7236559213897558,0.9820685315660989,0.994729585885889,0.9839453667053899,0.6871456456180094,0.8653163933009028,0.720015250151736,0.9815665455364243,0.9942946628095916,0.9834939193093153,0.7902404345261751,0.9182619667207735,0.8105111757498386,1.0,1.0,1.0,,,,ok,
Exathlon_id_3,7249,31,125,0.73260721802288,0.9176073613833887,0.755874948887078,0.9778214924917957,0.9941647453782051,0.9793890598632136,0.707122985742134,0.8930775044553234,0.728793440903782,0.9760895354264941,0.9926877157195152,0.9776824275286956,0.8655467032251578,0.9595603772797537,0.8714178119954638,0.9948764867337603,1.0,0.998347410943812,,,,ok,
Exathlon_id_6,7878,31,125,0.7824411234764188,0.8840624040047221,0.8119652067294956,0.9857713560066376,0.9923546821858138,0.9872634669051911,0.7508248319317996,0.8639738520143037,0.7845320971136915,0.9829439975054217,0.9901063588254141,0.9845317311503399,0.7255590272623614,0.7864602057602389,0.7251505729251121,1.0,1.0,1.0,,,,ok,
Exathlon_id_7,7249,31,125,0.7656622885956066,0.925551649094691,0.7729217993427221,0.9835700360117922,0.994531111605289,0.9833836382180441,0.7389100433806924,0.9016772862257415,0.7455671444183581,0.9818938686856153,0.9930448905693908,0.9817283367116452,0.916881907625448,0.9585685891869871,0.9188817415219779,0.9889949977262392,1.0,0.9986224630360915,,,,ok,
Exathlon_id_25,8489,19,125,0.39834598980915287,0.8833921455211494,0.39838652701266186,0.6632444170495781,0.985816672529604,0.6633595090276226,0.5044730342660865,0.854126013065549,0.5044957272917475,0.7628286695845149,0.9758885749404784,0.7628372571863942,0.5804252482057365,0.8712371069355755,0.5804252482057365,0.7882007653155998,0.9986977551779734,0.7882007653155998,,,,ok,
Exathlon_id_26,8489,19,125,0.39167933021134593,0.8849157352543767,0.39171264049259996,0.6627705080024744,0.9863143380040214,0.6628210118848511,0.49325688482848035,0.8543607824459921,0.49326039038823993,0.762248205127518,0.9765389316386371,0.7621491064748761,0.5759726737261682,0.8778280214036106,0.5759726737261682,0.7913760304375397,0.9982025536134871,0.7913760304375397,,,,ok,
